ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-06-04 00:00:00,2020-06-12 00:00:00,192.0,PROFIT_TARGET,USDJPY,NZDUSD,81.3,80.7,0.7392,0.00062,109.142,107.374,0.64181,0.64255,1.0,5.0,5.0,176.8,-7.4,169.4,1646.58,-370.0,1276.58
2,SHORT,2021-10-20 00:00:00,2021-10-22 00:00:00,48.0,PROFIT_TARGET,USDJPY,NZDUSD,81.4,85.7,0.582,0.00019,114.209,113.486,0.71499,0.7151,1.0,5.0,5.0,72.3,-1.1,71.2,637.08,-55.0,582.08
3,LONG,2023-01-02 21:00:00,2023-01-04 18:00:00,45.0,PROFIT_TARGET,USDJPY,NZDUSD,21.6,23.6,0.116,0.0021,130.768,132.007,0.63111,0.63039,1.0,0.55,0.5513,123.9,-7.2,116.7,938.59,-39.6,898.99
4,SHORT,2023-01-20 08:00:00,2023-02-03 16:00:00,344.0,PROFIT_TARGET,USDJPY,NZDUSD,78.2,78.5,0.2444,0.00024,129.166,129.957,0.6416,0.63914,1.0,5.0,5.0,-79.1,24.6,-54.5,-608.66,1230.0,621.34
5,SHORT,2023-02-13 15:00:00,2023-02-14 04:00:00,13.0,PROFIT_TARGET,USDJPY,NZDUSD,75.5,75.4,0.312,0.00038,132.431,132.051,0.63468,0.63365,1.0,5.0,5.0,38.0,10.3,48.3,287.77,515.0,802.77
6,LONG,2023-03-24 08:00:00,2023-03-28 18:00:00,106.0,PROFIT_TARGET,USDJPY,NZDUSD,22.7,19.2,0.3654,0.0003,130.098,130.984,0.62386,0.62436,1.0,5.0,5.0,88.6,5.0,93.6,676.42,250.0,926.42
7,SHORT,2023-03-29 06:00:00,2023-03-29 08:00:00,2.0,PROFIT_TARGET,USDJPY,NZDUSD,79.7,77.7,0.3018,0.0003,131.713,131.705,0.62689,0.62589,1.0,5.0,5.0,0.8,10.0,10.8,6.07,500.0,506.07
8,SHORT,2023-04-28 21:00:00,2023-05-24 11:00:00,614.0,PROFIT_TARGET,USDJPY,NZDUSD,86.1,75.9,0.2824,0.00033,136.173,138.645,0.61845,0.61375,1.0,5.0,5.0,-247.2,47.0,-200.2,-1782.97,2350.0,567.03
9,LONG,2023-07-18 16:00:00,2023-07-18 17:00:00,1.0,PROFIT_TARGET,USDJPY,NZDUSD,22.4,20.7,0.3562,0.00073,138.102,138.696,0.62677,0.62847,1.0,4.85,4.8529,59.4,17.0,76.4,428.27,824.5,1252.77
10,SHORT,2023-07-31 12:00:00,2023-08-01 11:00:00,23.0,PROFIT_TARGET,USDJPY,NZDUSD,81.9,78.4,0.3498,0.00031,142.419,142.716,0.61904,0.61659,1.0,5.0,5.0,-29.7,24.5,-5.2,-208.11,1225.0,1016.89
11,SHORT,2023-09-22 14:00:00,2023-09-25 05:00:00,63.0,PROFIT_TARGET,USDJPY,NZDUSD,78.0,78.2,0.2158,0.00033,148.255,148.409,0.59641,0.5951,1.0,5.0,5.0,-15.4,13.1,-2.3,-103.77,655.0,551.23
12,LONG,2023-12-07 08:00:00,2023-12-08 01:00:00,17.0,PROFIT_TARGET,USDJPY,NZDUSD,19.0,21.8,0.2484,0.00021,146.542,144.214,0.61219,0.6169,1.0,5.0,5.0,-232.8,47.1,-185.7,-1614.27,2355.0,740.73
13,SHORT,2023-12-19 11:00:00,2023-12-21 09:00:00,46.0,PROFIT_TARGET,USDJPY,NZDUSD,76.5,76.1,0.619,0.00029,144.607,143.095,0.62327,0.62438,1.0,5.0,5.0,151.2,-11.1,140.1,1056.64,-555.0,501.64
14,SHORT,2024-04-25 12:00:00,2024-04-25 16:00:00,4.0,PROFIT_TARGET,USDJPY,NZDUSD,80.4,76.1,0.1242,0.00014,155.672,155.669,0.59615,0.59281,1.0,5.0,5.0,0.3,33.4,33.7,1.93,1670.0,1671.93
15,LONG,2024-05-30 09:00:00,2024-05-30 12:00:00,3.0,PROFIT_TARGET,USDJPY,NZDUSD,23.3,24.2,0.1996,0.00037,156.964,156.944,0.60968,0.61097,1.0,5.0,5.0,-2.0,12.9,10.9,-12.74,645.0,632.26
16,SHORT,2024-06-11 04:00:00,2024-06-18 11:00:00,175.0,PROFIT_TARGET,USDJPY,NZDUSD,77.9,75.6,0.1102,0.00021,157.214,158.13,0.61269,0.60976,1.0,5.0,5.0,-91.6,29.3,-62.3,-579.27,1465.0,885.73
17,LONG,2024-07-24 05:00:00,2024-08-13 16:00:00,491.0,PROFIT_TARGET,USDJPY,NZDUSD,23.0,16.4,0.2512,0.00026,155.246,147.403,0.5936,0.60525,1.0,5.0,5.0,-784.3,116.5,-667.8,-5320.79,5825.0,504.21
18,SHORT,2024-09-12 08:00:00,2024-09-12 11:00:00,3.0,PROFIT_TARGET,USDJPY,NZDUSD,86.3,77.6,0.3194,0.00013,142.786,142.751,0.61504,0.61339,1.0,5.0,5.0,3.5,16.5,20.0,24.52,825.0,849.52
19,SHORT,2024-09-19 05:20:00,2024-09-19 07:45:00,2.42,PROFIT_TARGET,USDJPY,NZDUSD,79.9,78.3,0.142,0.00054,143.546,142.99,0.62143,0.62044,1.0,2.63,2.6296,55.6,9.9,65.5,388.84,260.37,649.21
20,SHORT,2024-09-19 12:15:00,2024-09-19 14:50:00,2.58,PROFIT_TARGET,USDJPY,NZDUSD,88.2,79.1,0.13,0.00037,142.847,142.875,0.62657,0.62489,1.0,3.48,3.4759,-2.8,16.8,14.0,-19.6,584.64,565.04
21,SHORT,2024-09-20 06:35:00,2024-09-20 07:50:00,1.25,PROFIT_TARGET,USDJPY,NZDUSD,75.8,75.6,0.0958,0.00026,142.529,142.196,0.62491,0.62405,1.0,3.63,3.6288,33.3,8.6,41.9,234.18,312.18,546.36
22,SHORT,2024-09-20 15:20:00,2024-09-20 16:25:00,1.08,PROFIT_TARGET,USDJPY,NZDUSD,79.1,75.9,0.085,0.0003,144.385,143.854,0.62347,0.62276,1.0,2.83,2.8333,53.1,7.1,60.2,369.12,200.93,570.05
23,LONG,2024-09-20 16:40:00,2024-09-20 18:40:00,2.0,PROFIT_TARGET,USDJPY,NZDUSD,20.1,23.8,0.1392,0.00039,143.778,144.133,0.62214,0.62293,1.0,3.53,3.533,35.5,7.9,43.4,246.3,278.87,525.17
24,LONG,2024-09-23 10:45:00,2024-09-23 13:05:00,2.33,PROFIT_TARGET,USDJPY,NZDUSD,16.8,18.9,0.1116,0.00035,143.887,143.735,0.62297,0.62499,1.0,3.15,3.1525,-15.2,20.2,5.0,-105.75,636.3,530.55
25,SHORT,2024-09-23 16:25:00,2024-10-04 10:20:00,257.92,PROFIT_TARGET,USDJPY,NZDUSD,79.9,81.3,0.1098,0.00033,143.754,145.984,0.62629,0.6201,1.0,3.33,3.3273,-223.0,61.9,-161.1,-1527.56,2061.27,533.71
26,SHORT,2024-10-04 20:20:00,2024-10-07 10:10:00,61.83,PROFIT_TARGET,USDJPY,NZDUSD,83.6,78.2,0.0648,0.00025,148.922,148.388,0.61602,0.61516,1.0,2.57,2.5714,53.4,8.6,62.0,359.87,221.02,580.89
27,SHORT,2024-10-07 15:00:00,2024-10-07 16:00:00,1.0,PROFIT_TARGET,USDJPY,NZDUSD,87.6,78.1,0.0742,0.00025,148.662,148.186,0.6151,0.61448,1.0,2.97,2.968,47.6,6.2,53.8,321.22,184.14,505.36
28,LONG,2024-10-09 04:10:00,2024-10-09 18:15:00,14.08,PROFIT_TARGET,USDJPY,NZDUSD,20.1,22.4,0.0764,0.00129,148.04,149.135,0.61021,0.60642,1.0,0.59,0.5904,109.5,-37.9,71.6,734.23,-223.61,510.62
29,LONG,2024-10-16 00:55:00,2024-10-17 16:30:00,39.58,PROFIT_TARGET,USDJPY,NZDUSD,24.7,21.9,0.027,0.00086,149.175,149.973,0.60618,0.60635,1.0,0.31,0.3132,79.8,1.7,81.5,532.1,5.27,537.37
30,SHORT,2024-10-21 11:00:00,2024-10-31 18:40:00,247.67,PROFIT_TARGET,USDJPY,NZDUSD,98.5,75.9,0.0544,0.00026,149.69,152.593,0.60639,0.5947,1.0,2.06,2.0606,-290.3,116.9,-173.4,-1902.45,2408.14,505.69
31,SHORT,2024-11-01 07:35:00,2024-11-01 09:10:00,1.58,PROFIT_TARGET,USDJPY,NZDUSD,78.9,82.9,0.0504,0.00011,152.38,152.424,0.59807,0.59683,1.0,4.5,4.5,-4.4,12.4,8.0,-28.87,558.0,529.13
32,SHORT,2024-11-06 00:45:00,2024-11-27 02:20:00,505.58,PROFIT_TARGET,USDJPY,NZDUSD,77.8,82.8,0.035,0.00046,151.604,152.818,0.60072,0.58364,1.0,0.76,0.7609,-121.4,170.8,49.4,-794.41,1298.08,503.67
33,LONG,2024-12-04 05:15:00,2024-12-04 06:25:00,1.17,PROFIT_TARGET,USDJPY,NZDUSD,24.1,3.7,0.0804,0.00044,149.644,150.152,0.58368,0.58477,1.0,1.81,1.8108,50.8,10.9,61.7,338.32,197.29,535.61
34,SHORT,2024-12-09 09:50:00,2025-02-03 04:35:00,1338.75,PROFIT_TARGET,USDJPY,NZDUSD,75.2,86.0,0.0692,0.00053,150.323,155.643,0.58349,0.5527,1.0,1.3,1.3008,-532.0,307.9,-224.1,-3418.08,4002.7,584.62
35,SHORT,2025-02-04 01:10:00,2025-02-04 03:00:00,1.83,PROFIT_TARGET,USDJPY,NZDUSD,84.8,83.4,0.1148,0.0004,155.069,155.325,0.56388,0.56156,1.0,2.87,2.87,-25.6,23.2,-2.4,-164.82,665.84,501.02
36,LONG,2025-02-06 00:00:00,2025-02-12 19:15:00,163.25,PROFIT_TARGET,USDJPY,NZDUSD,20.8,24.1,0.044,0.00018,152.518,154.448,0.56827,0.56527,1.0,2.47,2.4719,193.0,-30.0,163.0,1249.61,-741.0,508.61
37,LONG,2025-02-14 07:05:00,2025-02-14 10:30:00,3.42,PROFIT_TARGET,USDJPY,NZDUSD,22.4,23.3,0.0542,0.00018,152.602,152.619,0.56847,0.57022,1.0,3.08,3.0795,1.7,17.5,19.2,11.14,539.0,550.14
38,SHORT,2025-02-17 23:15:00,2025-02-18 03:00:00,3.75,PROFIT_TARGET,USDJPY,NZDUSD,76.9,76.7,0.0234,7e-05,151.456,151.607,0.57376,0.5719,1.0,3.44,3.4412,-15.1,18.6,3.5,-99.6,639.84,540.24
39,LONG,2025-02-18 15:15:00,2025-02-19 04:30:00,13.25,PROFIT_TARGET,USDJPY,NZDUSD,18.0,22.9,0.0488,0.00028,151.672,152.038,0.56971,0.57128,1.0,1.72,1.7183,36.6,15.7,52.3,240.73,270.04,510.77
40,LONG,2025-02-21 17:55:00,2025-03-17 16:05:00,574.17,PROFIT_TARGET,USDJPY,NZDUSD,13.8,23.6,0.0682,0.0003,149.548,148.822,0.57494,0.5795,1.0,2.3,2.3041,-72.6,45.6,-27.0,-487.83,1048.8,560.97
41,SHORT,2025-03-17 21:30:00,2025-03-18 18:00:00,20.5,PROFIT_TARGET,USDJPY,NZDUSD,77.4,76.3,0.0544,0.00014,149.07,149.622,0.58231,0.58,1.0,3.94,3.942,-55.2,23.1,-32.1,-368.93,910.14,541.21
42,SHORT,2025-03-19 08:55:00,2025-03-19 10:00:00,1.08,PROFIT_TARGET,USDJPY,NZDUSD,76.4,79.0,0.067,7e-05,149.773,149.525,0.58125,0.58052,1.0,5.0,5.0,24.8,7.3,32.1,165.86,365.0,530.86
43,LONG,2025-03-19 10:50:00,2025-05-02 03:50:00,1049.0,PROFIT_TARGET,USDJPY,NZDUSD,20.7,24.5,0.1192,0.00053,149.315,145.869,0.57919,0.59214,1.0,2.23,2.2322,-344.6,129.5,-215.1,-2362.39,2887.85,525.46
44,SHORT,2025-05-16 05:55:00,2025-05-22 00:05:00,138.17,PROFIT_TARGET,USDJPY,NZDUSD,75.0,76.1,0.0586,0.00037,145.412,143.576,0.58896,0.59244,1.0,1.58,1.5838,183.6,-34.8,148.8,1278.77,-549.84,728.93
45,LONG,2025-05-26 20:20:00,2025-05-28 04:05:00,31.75,PROFIT_TARGET,USDJPY,NZDUSD,21.0,20.2,0.0148,0.00011,142.735,144.73,0.60002,0.5938,1.0,1.37,1.3704,199.5,-62.2,137.3,1378.43,-852.14,526.29
46,SHORT,2025-05-29 02:00:00,2025-05-29 05:00:00,3.0,PROFIT_TARGET,USDJPY,NZDUSD,79.0,87.8,0.0698,0.00028,144.986,145.849,0.59738,0.59277,1.0,2.53,2.529,-86.3,46.1,-40.2,-591.71,1166.33,574.62
47,LONG,2025-06-10 08:25:00,2025-06-11 01:55:00,17.5,PROFIT_TARGET,USDJPY,NZDUSD,23.2,23.5,0.0914,0.00039,144.638,144.96,0.60417,0.60541,1.0,2.32,2.3198,32.2,12.4,44.6,222.13,287.68,509.81
48,LONG,2025-06-13 03:00:00,2025-06-16 13:35:00,82.58,PROFIT_TARGET,USDJPY,NZDUSD,4.9,21.2,0.1634,0.00045,142.918,144.072,0.60526,0.60457,1.0,3.65,3.6473,115.4,-6.9,108.5,800.99,-251.85,549.14
49,SHORT,2025-06-16 15:10:00,2025-06-19 04:00:00,60.83,PROFIT_TARGET,USDJPY,NZDUSD,79.4,77.8,0.0704,0.00034,144.237,144.775,0.60542,0.60079,1.0,2.05,2.0465,-53.8,46.3,-7.5,-371.61,949.15,577.54
