ID,Trade Type,Entry Time,Exit Time,Duration (hrs),Exit Reason,Symbol1,Symbol2,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Hedge Ratio,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
1,SHORT,2020-01-02 15:10:00,2020-02-24 01:10:00,1258.0,STOP_LOSS,XAUUSD,XAGUSD,86.2,78.9,0.648,0.0238,1523.56,1673.31,17.955,18.736,1.0,0.5,0.2723,-1497.5,-781.0,-2278.5,-14975.0,-39.05,-15014.05
2,SHORT,2020-02-24 01:15:00,2020-02-24 02:25:00,1.17,PROFIT_TARGET,XAUUSD,XAGUSD,79.5,78.6,9.68,0.0902,1666.28,1661.03,18.684,18.612,1.0,1.07,1.0732,52.5,72.0,124.5,525.0,7.71,532.71
3,SHORT,2020-02-24 09:10:00,2020-02-24 21:25:00,12.25,PROFIT_TARGET,XAUUSD,XAGUSD,89.5,75.3,1.814,0.0236,1670.17,1657.62,18.704,18.727,1.0,0.77,0.7686,125.5,-23.0,102.5,1255.0,-1.77,1253.23
4,LONG,2020-02-24 21:30:00,2020-02-24 23:05:00,1.58,PROFIT_TARGET,XAUUSD,XAGUSD,9.7,20.2,5.402,0.0502,1656.47,1662.14,18.688,18.666,1.0,1.08,1.0761,56.7,-22.0,34.7,567.0,-2.37,564.63
5,SHORT,2020-02-25 04:10:00,2020-02-25 07:35:00,3.42,PROFIT_TARGET,XAUUSD,XAGUSD,84.7,79.4,2.178,0.0218,1656.29,1650.87,18.605,18.514,1.0,1.0,0.9991,54.2,91.0,145.2,542.0,9.1,551.1
6,LONG,2020-02-25 08:20:00,2020-02-25 10:10:00,1.83,PROFIT_TARGET,XAUUSD,XAGUSD,17.1,17.1,2.798,0.0482,1640.5,1645.71,18.346,18.374,1.0,0.58,0.5805,52.1,28.0,80.1,521.0,1.62,522.62
7,SHORT,2020-02-25 10:20:00,2020-02-25 22:45:00,12.42,PROFIT_TARGET,XAUUSD,XAGUSD,85.3,82.4,2.242,0.029,1647.85,1640.91,18.39,18.039,1.0,0.77,0.7731,69.4,351.0,420.4,694.0,27.03,721.03
8,LONG,2020-02-25 22:50:00,2020-02-26 03:10:00,4.33,PROFIT_TARGET,XAUUSD,XAGUSD,19.4,3.8,3.88,0.0614,1640.0,1645.48,17.976,18.142,1.0,0.63,0.6319,54.8,166.0,220.8,548.0,10.46,558.46
9,LONG,2020-02-26 14:05:00,2020-02-26 20:40:00,6.58,PROFIT_TARGET,XAUUSD,XAGUSD,21.1,15.4,2.468,0.029,1642.33,1648.71,17.996,17.951,1.0,0.85,0.851,63.8,-45.0,18.8,638.0,-3.82,634.18
10,LONG,2020-02-26 22:50:00,2020-02-27 02:00:00,3.17,PROFIT_TARGET,XAUUSD,XAGUSD,19.9,24.2,2.21,0.0196,1639.79,1644.89,17.898,17.921,1.0,1.13,1.1276,51.0,23.0,74.0,510.0,2.6,512.6
11,SHORT,2020-02-27 03:50:00,2020-02-27 09:30:00,5.67,PROFIT_TARGET,XAUUSD,XAGUSD,77.4,75.6,1.438,0.019,1649.66,1644.22,18.023,18.017,1.0,0.76,0.7568,54.4,6.0,60.4,544.0,0.46,544.46
12,LONG,2020-02-27 19:50:00,2020-02-27 20:40:00,0.83,PROFIT_TARGET,XAUUSD,XAGUSD,22.7,23.6,3.092,0.0338,1639.87,1645.7,17.732,17.725,1.0,0.91,0.9148,58.3,-7.0,51.3,583.0,-0.63,582.37
13,SHORT,2020-02-28 01:15:00,2020-02-28 02:25:00,1.17,PROFIT_TARGET,XAUUSD,XAGUSD,78.0,91.5,3.126,0.0452,1647.13,1641.96,17.815,17.734,1.0,0.69,0.6916,51.7,81.0,132.7,517.0,5.59,522.59
14,LONG,2020-02-28 02:35:00,2020-03-04 01:15:00,118.67,PROFIT_TARGET,XAUUSD,XAGUSD,24.5,15.1,1.624,0.0186,1642.38,1647.99,17.735,17.277,1.0,0.87,0.8731,56.1,-458.0,-401.9,561.0,-39.85,521.15
15,SHORT,2020-03-04 01:20:00,2020-03-04 03:00:00,1.67,PROFIT_TARGET,XAUUSD,XAGUSD,86.8,86.0,4.668,0.0496,1646.67,1641.21,17.268,17.201,1.0,0.94,0.9411,54.6,67.0,121.6,546.0,6.3,552.3
16,SHORT,2020-03-04 07:20:00,2020-03-04 09:00:00,1.67,PROFIT_TARGET,XAUUSD,XAGUSD,80.2,85.4,1.166,0.0294,1644.78,1637.2,17.304,17.17,1.0,0.5,0.3966,75.8,134.0,209.8,758.0,6.7,764.7
17,LONG,2020-03-04 09:10:00,2020-03-04 11:50:00,2.67,PROFIT_TARGET,XAUUSD,XAGUSD,17.0,24.9,3.0,0.0342,1633.8,1639.66,17.155,17.256,1.0,0.88,0.8772,58.6,101.0,159.6,586.0,8.89,594.89
18,LONG,2020-03-04 15:35:00,2020-03-04 16:40:00,1.08,PROFIT_TARGET,XAUUSD,XAGUSD,24.5,13.1,3.264,0.0348,1637.99,1643.42,17.13,17.15,1.0,0.94,0.9379,54.3,20.0,74.3,543.0,1.88,544.88
19,SHORT,2020-03-05 14:20:00,2020-03-10 21:10:00,126.83,PROFIT_TARGET,XAUUSD,XAGUSD,80.9,79.2,2.598,0.0532,1654.09,1647.67,17.37,16.906,1.0,0.5,0.4883,64.2,464.0,528.2,642.0,23.2,665.2
20,SHORT,2020-03-11 01:15:00,2020-03-11 17:10:00,15.92,PROFIT_TARGET,XAUUSD,XAGUSD,86.8,77.7,1.84,0.0258,1652.82,1647.02,16.939,16.838,1.0,0.71,0.7132,58.0,101.0,159.0,580.0,7.17,587.17
21,LONG,2020-03-11 21:15:00,2020-03-11 21:20:00,0.08,PROFIT_TARGET,XAUUSD,XAGUSD,22.6,11.3,2.5,0.0256,1634.97,1642.62,16.684,16.727,1.0,0.98,0.9766,76.5,43.0,119.5,765.0,4.22,769.22
22,SHORT,2020-03-12 02:05:00,2020-03-12 03:40:00,1.58,PROFIT_TARGET,XAUUSD,XAGUSD,77.1,75.9,1.662,0.0244,1644.22,1636.71,16.821,16.56,1.0,0.68,0.6811,75.1,261.0,336.1,751.0,17.75,768.75
23,SHORT,2020-03-12 10:10:00,2020-03-12 11:40:00,1.5,PROFIT_TARGET,XAUUSD,XAGUSD,76.8,77.9,2.814,0.0376,1642.98,1636.09,16.706,16.634,1.0,0.75,0.7484,68.9,72.0,140.9,689.0,5.4,694.4
24,LONG,2020-03-12 14:00:00,2020-03-16 13:00:00,95.0,STOP_LOSS,XAUUSD,XAGUSD,23.2,6.6,5.89,0.0798,1623.71,1469.21,16.325,12.621,1.0,0.74,0.7381,-1545.0,-3704.0,-5249.0,-15450.0,-274.1,-15724.1
25,LONG,2020-03-16 13:05:00,2020-03-16 16:35:00,3.5,PROFIT_TARGET,XAUUSD,XAGUSD,16.5,17.8,11.176,0.1636,1476.28,1487.2,12.64,13.025,1.0,0.68,0.6831,109.2,385.0,494.2,1092.0,26.18,1118.18
26,SHORT,2020-03-17 01:25:00,2020-03-17 01:50:00,0.42,PROFIT_TARGET,XAUUSD,XAGUSD,75.7,85.7,4.11,0.0522,1513.27,1507.31,13.02,12.998,1.0,0.79,0.7874,59.6,22.0,81.6,596.0,1.74,597.74
27,SHORT,2020-03-17 06:10:00,2020-03-17 07:35:00,1.42,PROFIT_TARGET,XAUUSD,XAGUSD,80.7,76.0,2.45,0.0396,1503.35,1496.71,12.908,12.706,1.0,0.62,0.6187,66.4,202.0,268.4,664.0,12.53,676.53
