pair,sharpe_ratio,volatility,avg_trade_duration,total_trades,total_profit,profit_per_year,total_buy_trades,total_sell_trades,profit_loss_by_pair,max_loss,avg_win,avg_loss
EURNZD_NZDCHF,0.20923139578158195,1729.4743039347381,4 days 13:58:16.774193548,93,33653.01,"{2020: 3236.13, 2021: 2060.25, 2022: 7303.11, 2023: 12239.82, 2024: 2477.95, 2025: 6335.75}",66,27,33653.01,-16123.79,541.0521739130435,-16123.79
XAUUSD_XAGUSD,-0.07715841729154535,3697.060053055789,3 days 15:07:03.837209302,516,-147193.8,"{2020: -26400.81, 2021: 17334.89, 2022: -32834.38, 2023: -32600.129999999997, 2024: -4903.120000000002, 2025: -67790.25}",247,269,-147193.8,-15817.16,630.5039094650205,-15120.623333333331
GBPAUD_AUDJPY,0.16127244255999493,1506.0775769763172,13 days 06:52:22.857142857,84,20402.659999999996,"{2021: 7073.97, 2022: 7762.639999999999, 2023: 2530.62, 2024: 3338.8399999999992, 2025: -303.4099999999996}",42,42,20402.659999999996,-8613.78,561.0755,-6120.845000000001
EURGBP_GBPJPY,0.16114414692608808,1323.3493370243923,18 days 05:43:30,70,14927.499999999996,"{2021: 2902.54, 2022: -3820.76, 2023: 13156.24, 2024: -6012.370000000001, 2025: 8701.85}",36,34,14927.499999999996,-6007.81,537.6821538461538,-4004.368
GBPNZD_AUDCAD,0.3419392303696997,1080.1131595830127,6 days 22:49:45,160,59093.28999999999,"{2021: 19183.5, 2022: 20014.45, 2023: 23788.72, 2024: -10192.54, 2025: 6299.160000000001}",76,84,59093.28999999999,-9113.76,557.4546103896105,-4459.12
USDCAD_NZDCHF,0.057864351926887214,1658.8919407927226,12 days 13:12:13.333333333,99,9503.079999999998,"{2020: 9525.81, 2021: 6064.4, 2022: 14395.35, 2023: -3045.24, 2024: -15870.26, 2025: -1566.9799999999996}",58,41,9503.079999999998,-8093.08,554.5858241758242,-5120.5287499999995
EURUSD_USDJPY,0.1518257210595532,1430.3067452977687,15 days 10:48:49.411764706,34,7383.349999999998,"{2020: 722.18, 2023: 682.5100000000001, 2024: 7061.26, 2025: -1082.6000000000001}",10,24,7383.349999999998,-6896.09,584.3280645161291,-3576.94
NZDCAD_CADJPY,0.274002730877733,1133.4610701745648,15 days 11:06:55.384615384,91,28262.0,"{2021: -4449.77, 2022: 9359.43, 2023: 3833.05, 2024: 14220.36, 2025: 5298.93}",44,47,28262.0,-8300.51,526.8251724137931,-4392.9475
EURCAD_CADCHF,0.2010389209743947,1302.8791166167591,12 days 05:12:38.823529411,68,17811.199999999997,"{2020: 2100.62, 2021: -3703.38, 2022: 10067.48, 2023: 5807.78, 2024: -1103.6200000000008, 2025: 4642.32}",31,37,17811.199999999997,-6926.63,568.73296875,-4646.9275
AUDUSD_GBPNZD,0.40064567265125717,886.3719846267148,14 days 18:04:57,100,35512.10999999999,"{2020: 8491.460000000001, 2021: 12935.93, 2022: 4713.41, 2023: 5570.38, 2024: 2765.8, 2025: 1035.13}",51,49,35512.10999999999,-5306.35,526.6805263157893,-2904.508
GBPAUD_AUDCHF,0.303359552487979,1302.8556590222454,6 days 14:17:15.483870967,124,49008.98,"{2020: 11854.16, 2021: 4995.96, 2022: -5336.129999999999, 2023: 15647.01, 2024: 11450.19, 2025: 10397.79}",90,34,49008.98,-13373.71,553.2011570247935,-5976.12
EURNZD_NZDJPY,0.2174305759464418,1627.4150192813638,8 days 05:38:45.806451612,93,32908.030000000006,"{2020: -424.8399999999999, 2021: 3647.89, 2022: 8055.1, 2023: -3393.17, 2024: 16196.17, 2025: 8826.88}",49,44,32908.030000000006,-15030.32,543.0705494505495,-8255.695
USDCAD_NZDJPY,0.1823778513936025,1136.9177206919576,19 days 17:41:31.666666666,72,14929.099999999999,"{2020: 6247.98, 2021: -3238.64, 2022: -2656.7699999999995, 2023: 7265.14, 2024: -1590.1999999999996, 2025: 8901.59}",35,37,14929.099999999999,-5586.79,518.3728787878788,-3213.9183333333335
EURAUD_CADCHF,0.4592457822301875,939.7965351816326,7 days 18:37:01.518987341,158,68192.42,"{2020: 7629.56, 2021: 6848.87, 2022: 17169.07, 2023: 15921.48, 2024: 6099.310000000001, 2025: 14524.13}",84,74,68192.42,-8454.71,564.0254545454545,-4666.875
EURGBP_GBPCHF,0.7363943844996163,570.8134277837103,15 days 14:57:53.239436619,71,29844.410000000003,"{2020: 1628.09, 2021: 811.7999999999998, 2022: 10926.99, 2023: 15212.03, 2024: 1062.84, 2025: 202.6599999999999}",47,24,29844.410000000003,-2447.96,547.5416417910446,-1710.2199999999998
EURAUD_NZDCAD,0.1683963100584431,1353.8901174311627,13 days 02:45:09,100,22799.010000000002,"{2021: 6506.139999999999, 2022: -4783.540000000001, 2023: 7486.32, 2024: 14700.26, 2025: -1110.1699999999994}",60,40,22799.010000000002,-6935.4,541.6562765957448,-4686.113333333334
EURUSD_USDCHF,-0.053801187244029186,1705.4682418072355,28 days 14:17:58.378378378,37,-3394.9800000000037,"{2020: -1891.8500000000001, 2021: -2974.0400000000004, 2022: -1941.7600000000004, 2023: 4820.76, 2024: -3999.39, 2025: 2591.3}",18,19,-3394.9800000000037,-6195.64,523.86875,-4031.756
GBPAUD_AUDNZD,0.22090471589238528,1166.4575845177485,14 days 00:53:30.280373831,107,27571.329999999998,"{2020: 15644.71, 2021: -142.64999999999986, 2022: 15873.06, 2023: -1340.52, 2024: 1999.0700000000004, 2025: -4462.34}",64,43,27571.329999999998,-6618.08,551.2175757575758,-3374.90125
NZDUSD_EURNZD,0.20190819131617088,1098.2769429293135,21 days 11:51:23.333333333,36,7983.04,"{2020: -992.52, 2021: 1640.92, 2022: -14.159999999999968, 2023: 1125.3300000000002, 2024: 3653.8599999999997, 2025: 2569.61}",26,10,7983.04,-4860.0,530.3187878787879,-3172.4933333333333
EURCAD_CADJPY,0.6100282108393693,643.8720619342721,15 days 03:13:35.853658536,82,32207.970000000005,"{2020: 6302.47, 2021: -10.150000000000205, 2022: 12207.8, 2023: 3201.0199999999995, 2024: 6747.58, 2025: 3759.25}",41,41,32207.970000000005,-3609.31,524.965641025641,-2184.8375
