pair,sharpe_ratio,volatility,avg_trade_duration,total_trades,total_profit,profit_per_year,total_buy_trades,total_sell_trades,profit_loss_by_pair,max_loss,avg_win,avg_loss
AUDUSD_GBPNZD,0.40064567265125717,886.3719846267148,14 days 18:04:57,100,35512.10999999999,"{2020: 8491.460000000001, 2021: 12935.93, 2022: 4713.41, 2023: 5570.38, 2024: 2765.8, 2025: 1035.13}",51,49,35512.10999999999,-5306.35,526.6805263157893,-2904.508
EURAUD_CADCHF,0.4592457822301875,939.7965351816326,7 days 18:37:01.518987341,158,68192.42,"{2020: 7629.56, 2021: 6848.87, 2022: 17169.07, 2023: 15921.48, 2024: 6099.310000000001, 2025: 14524.13}",84,74,68192.42,-8454.71,564.0254545454545,-4666.875
EURGBP_GBPCHF,0.7363943844996163,570.8134277837103,15 days 14:57:53.239436619,71,29844.410000000003,"{2020: 1628.09, 2021: 811.7999999999998, 2022: 10926.99, 2023: 15212.03, 2024: 1062.84, 2025: 202.6599999999999}",47,24,29844.410000000003,-2447.96,547.5416417910446,-1710.2199999999998
EURCAD_CADJPY,0.6100282108393693,643.8720619342721,15 days 03:13:35.853658536,82,32207.970000000005,"{2020: 6302.47, 2021: -10.150000000000205, 2022: 12207.8, 2023: 3201.0199999999995, 2024: 6747.58, 2025: 3759.25}",41,41,32207.970000000005,-3609.31,524.965641025641,-2184.8375
GBPNZD_NZDCHF,0.42555802593570596,1087.2813421152755,2 days 12:35:20,315,145750.91,"{2020: 27952.920000000002, 2021: 29446.97, 2022: 45846.53, 2023: 31765.79, 2024: 352.2000000000003, 2025: 10386.5}",166,149,145750.91,-15032.71,570.4534726688103,-7915.03
EURAUD_AUDJPY,0.9059438293124874,491.3926366957713,9 days 23:09:40.952380952,63,28045.969999999998,"{2021: 1510.35, 2022: 5720.69, 2023: 10555.69, 2024: 3824.01, 2025: 6435.23}",33,30,28045.969999999998,-2939.18,529.0468852459015,-2112.9449999999997
GBPUSD_USDCHF,0.4376528052228595,879.2437887890378,10 days 19:48:52.978723404,94,36171.52999999999,"{2020: 5492.02, 2021: 5582.469999999999, 2022: 8670.86, 2023: 2717.619999999999, 2024: 10971.97, 2025: 2736.59}",50,44,36171.52999999999,-4847.31,542.0602197802198,-4385.316666666667
EURAUD_AUDCHF,5.568728476952119,99.09800045501521,4 days 15:49:42.857142857,70,38629.490000000005,"{2020: 1037.81, 2021: 2304.66, 2022: 5546.78, 2023: 8198.88, 2024: 14439.14, 2025: 7102.22}",53,17,38629.490000000005,0.0,551.8498571428572,0.0
USDJPY_EURCAD,0.5505570882661585,1048.3792350496158,6 days 08:26:25.714285714,42,24242.09,"{2023: 15627.85, 2024: 12952.39, 2025: -4338.15}",12,30,24242.09,-5542.38,726.450487804878,-5542.38
GBPUSD_USDCAD,0.48106010177788416,782.7341584168647,11 days 21:38:46.086956521,69,25981.409999999996,"{2020: 12549.81, 2021: -2145.7799999999997, 2022: 4317.35, 2023: 5284.79, 2024: 1276.1999999999998, 2025: 4699.04}",37,32,25981.409999999996,-4700.04,533.8648484848486,-3084.556666666667
USDCAD_AUDCHF,0.4932686415661125,762.4527665289112,12 days 14:54:14.545454545,99,37233.31,"{2020: 1157.4800000000002, 2021: 11144.77, 2022: 5335.5599999999995, 2023: 7415.46, 2024: 6288.150000000001, 2025: 5891.89}",52,47,37233.31,-4505.75,523.3465263157893,-3121.1525
USDJPY_NZDUSD,2.7403415032113942,236.35405133539183,5 days 19:29:17.142857142,49,31736.850000000002,"{2020: 1276.58, 2021: 582.08, 2023: 8385.88, 2024: 12672.08, 2025: 8820.23}",19,30,31736.850000000002,0.0,647.6908163265307,0.0
