Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-02-02 05:10:00,2021-02-02 14:45:00,9.6,Profit Target,AUDCAD,NZDCAD,SELL,BUY,71.12676056338387,28.03738317757407,0.0002479999999999816,0.00026999999999994807,0.98216,0.97267,0.9199,0.9173,1.0,0.92,94.9,-26.0,68.9,694.79,-175.14,519.65
DIVERGENCE,2021-02-04 03:45:00,2021-05-17 00:00:00,2444.2,Time Limit,AUDCAD,NZDCAD,SELL,BUY,70.80291970802917,27.819548872176554,0.0002760000000000096,0.00021199999999994558,0.97683,0.94139,0.92223,0.87612,1.0,1.3,354.4,-461.1,-106.7,2594.61,-4388.92,-1794.31
DIVERGENCE,2021-05-31 00:00:00,2021-06-01 17:40:00,41.7,Profit Target,AUDCAD,NZDCAD,BUY,SELL,25.471698113206713,81.52866242038536,0.0004119999999999902,0.00033199999999995456,0.92987,0.9325,0.87552,0.87198,1.0,1.24,26.3,35.4,61.7,192.56,321.37,513.93
DIVERGENCE,2021-07-20 08:15:00,2021-07-21 17:30:00,33.2,Profit Target,AUDCAD,NZDCAD,SELL,BUY,72.76595744680705,28.476821192052014,0.00030600000000000625,0.0004760000000000097,0.93494,0.92439,0.88092,0.87523,1.0,0.64,105.5,-56.9,48.6,772.38,-266.63,505.75
DIVERGENCE,2021-07-28 07:35:00,2021-11-05 07:35:00,2400.0,Time Limit,AUDCAD,NZDCAD,BUY,SELL,22.35294117646275,76.92307692307611,0.00012999999999998568,0.00015799999999996928,0.92631,0.92112,0.8758,0.88338,1.0,0.82,-51.9,-75.8,-127.7,-380.0,-455.05,-835.05
DIVERGENCE,2021-11-17 03:20:00,2021-11-24 18:45:00,183.4,Profit Target,AUDCAD,NZDCAD,BUY,SELL,27.945205479452312,80.28169014085321,0.00040599999999999523,0.00032799999999999496,0.91539,0.91121,0.87858,0.86958,1.0,1.24,-41.8,90.0,48.2,-306.05,817.03,510.98
DIVERGENCE,2021-12-13 05:20:00,2022-03-23 05:20:00,2400.0,Time Limit,AUDCAD,NZDCAD,SELL,BUY,73.04347826086898,27.731092436971892,0.00019199999999996997,0.0002160000000000606,0.91149,0.93877,0.86332,0.87593,1.0,0.89,-272.8,126.1,-146.7,-1997.19,821.71,-1175.48
DIVERGENCE,2022-03-30 12:15:00,2022-04-01 10:20:00,46.1,Profit Target,AUDCAD,NZDCAD,BUY,SELL,24.169184290030657,81.71206225681296,0.00048599999999998644,0.00034999999999996145,0.93682,0.93757,0.87056,0.86618,1.0,1.39,7.5,43.8,51.3,54.91,445.72,500.63
DIVERGENCE,2022-05-04 11:05:00,2022-06-07 07:30:00,812.4,Profit Target,AUDCAD,NZDCAD,BUY,SELL,27.979274611398367,82.53968253968132,0.00034799999999999274,0.00033999999999998474,0.91158,0.90954,0.82618,0.81521,1.0,1.02,-20.4,109.7,89.3,-149.36,819.18,669.82
DIVERGENCE,2022-08-16 07:55:00,2022-11-01 10:20:00,1850.4,Profit Target,AUDCAD,NZDCAD,SELL,BUY,72.76595744680705,20.098039215686924,0.00025799999999998047,0.00022000000000002017,0.90671,0.87215,0.81957,0.79591,1.0,1.17,345.6,-236.6,109.0,2530.16,-2026.81,503.35
