Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-04-10 19:05:00,2020-07-20 00:05:00,2405.0,Time Limit,AUDCHF,NZDCHF,SELL,BUY,71.83098591549802,17.142857142836746,0.00022599999999999286,0.0006519999999999859,0.61225,0.65635,0.58615,0.61428,1.0,0.35,-441.0,281.3,-159.7,-5556.54,1240.63,-4315.91
DIVERGENCE,2020-08-17 02:00:00,2020-09-22 09:30:00,871.5,Profit Target,AUDCHF,NZDCHF,SELL,BUY,81.48148148147266,12.999999999996334,0.00017399999999998528,0.0002599999999999936,0.65242,0.65866,0.59425,0.60949,1.0,0.67,-62.4,152.4,90.0,-786.23,1286.66,500.43
DIVERGENCE,2020-10-09 03:40:00,2021-01-12 10:15:00,2286.6,Profit Target,AUDCHF,NZDCHF,BUY,SELL,29.906542056072055,73.85620915032486,0.00020599999999997286,0.0002740000000000187,0.65741,0.68709,0.60467,0.63895,1.0,0.75,296.8,-342.8,-46.0,3740.3,-3239.71,500.59
DIVERGENCE,2021-03-15 03:50:00,2021-03-18 15:55:00,84.1,Profit Target,AUDCHF,NZDCHF,BUY,SELL,20.812182741116388,72.24669603523702,0.00034400000000001096,0.00031000000000001025,0.72042,0.7227,0.66923,0.66765,1.0,1.11,22.8,15.8,38.6,287.33,221.0,508.33
DIVERGENCE,2021-04-01 20:55:00,2021-04-06 23:55:00,123.0,Profit Target,AUDCHF,NZDCHF,SELL,BUY,71.55555555555426,20.05141388174812,0.00025000000000001686,0.001354000000000033,0.71682,0.71308,0.65531,0.65675,1.0,0.18,37.4,14.4,51.8,471.28,32.66,503.94
DIVERGENCE,2021-05-28 01:55:00,2021-07-08 12:20:00,994.4,Profit Target,AUDCHF,NZDCHF,SELL,BUY,70.8737864077695,26.966292134835115,0.00016399999999998637,0.00028200000000000447,0.69447,0.68163,0.65375,0.63888,1.0,0.58,128.4,-148.7,-20.3,1617.86,-1086.81,531.05
DIVERGENCE,2021-08-03 02:40:00,2021-08-10 10:05:00,175.4,Profit Target,AUDCHF,NZDCHF,BUY,SELL,29.824561403505697,74.25149700598647,0.00013799999999999368,0.0003060000000000507,0.6665,0.67509,0.63235,0.64248,1.0,0.45,85.9,-101.3,-15.4,1082.45,-574.38,508.07
DIVERGENCE,2021-09-13 06:50:00,2021-09-28 06:10:00,359.3,Profit Target,AUDCHF,NZDCHF,BUY,SELL,26.470588235297953,71.08433734938968,0.00014600000000000168,0.0001360000000000028,0.6756,0.67613,0.65332,0.65,1.0,1.07,5.3,33.2,38.5,66.79,447.62,514.41
DIVERGENCE,2021-09-29 03:00:00,2021-11-08 07:55:00,964.9,Profit Target,AUDCHF,NZDCHF,SELL,BUY,81.41592920354955,27.956989247312976,0.00023800000000000486,0.00019000000000000128,0.67321,0.67646,0.64628,0.65214,1.0,1.25,-32.5,58.6,26.1,-409.52,923.06,513.54
DIVERGENCE,2021-11-19 06:40:00,2022-02-28 00:00:00,2417.3,Time Limit,AUDCHF,NZDCHF,SELL,BUY,73.11827956988631,26.92307692307857,0.0001279999999999948,0.00010199999999997989,0.67404,0.66408,0.6519,0.61903,1.0,1.25,99.6,-328.7,-229.1,1254.98,-5177.55,-3922.57
