Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-05 23:55:00,2021-02-22 13:35:00,1141.7,Profit Target,AUDJPY,CADJPY,BUY,SELL,28.57142857143002,78.74015748031981,0.024200000000001866,0.021399999999997022,79.69,83.191,81.074,83.525,1.0,1.13,350.1,-245.1,105.0,2437.22,-1928.0,509.22
DIVERGENCE,2021-03-17 13:30:00,2021-03-18 19:15:00,29.8,Profit Target,AUDJPY,CADJPY,BUY,SELL,28.571428571421322,76.30057803468418,0.03760000000000048,0.030999999999997384,84.282,84.872,87.548,87.431,1.0,1.21,59.0,11.7,70.7,410.73,98.55,509.28
DIVERGENCE,2021-03-31 21:50:00,2021-04-14 16:40:00,330.8,Profit Target,AUDJPY,CADJPY,BUY,SELL,28.03738317757133,70.43010752688143,0.02359999999999616,0.030600000000006844,84.179,83.932,88.102,86.811,1.0,0.77,-24.7,129.1,104.4,-171.95,691.99,520.04
DIVERGENCE,2021-05-06 11:15:00,2021-08-16 00:00:00,2436.8,Time Limit,AUDJPY,CADJPY,BUY,SELL,26.85950413223155,83.10810810811181,0.03780000000000712,0.03740000000000236,84.635,80.633,89.288,87.454,1.0,1.01,-400.2,183.4,-216.8,-2786.04,1289.5,-1496.54
DIVERGENCE,2021-09-06 16:00:00,2021-10-27 02:20:00,1210.3,Profit Target,AUDJPY,CADJPY,BUY,SELL,25.21739130434578,74.99999999999683,0.016799999999997796,0.022800000000000865,81.669,85.765,87.605,92.156,1.0,0.74,409.6,-455.1,-45.5,2851.45,-2344.42,507.03
DIVERGENCE,2021-11-09 01:50:00,2021-12-20 15:20:00,997.5,Profit Target,AUDJPY,CADJPY,BUY,SELL,27.90697674418162,73.8317757009388,0.02340000000000373,0.01880000000000166,83.972,80.789,91.005,87.852,1.0,1.24,-318.3,315.3,-3.0,-2216.03,2721.89,505.86
DIVERGENCE,2021-12-24 04:50:00,2022-01-03 16:40:00,251.8,Profit Target,AUDJPY,CADJPY,SELL,BUY,72.26277372263024,28.947368421047386,0.019200000000000727,0.02599999999999909,82.789,83.064,89.187,90.554,1.0,0.74,-27.5,136.7,109.2,-191.45,704.27,512.82
DIVERGENCE,2022-01-31 17:55:00,2022-02-01 16:20:00,22.4,Profit Target,AUDJPY,CADJPY,BUY,SELL,24.625623960067742,75.0,0.12319999999999993,0.08820000000000335,81.233,81.463,90.624,90.273,1.0,1.4,23.0,35.1,58.1,160.13,342.11,502.24
DIVERGENCE,2022-03-10 08:25:00,2022-03-11 10:10:00,25.8,Profit Target,AUDJPY,CADJPY,SELL,BUY,75.6756756756748,22.388059701487478,0.038199999999994814,0.024799999999996204,85.051,85.749,90.531,91.461,1.0,1.54,-69.8,93.0,23.2,-485.94,997.12,511.18
DIVERGENCE,2022-03-15 18:55:00,2022-03-17 03:00:00,32.1,Profit Target,AUDJPY,CADJPY,BUY,SELL,24.47013487475867,72.98387096774368,0.04679999999999893,0.04619999999999891,85.025,86.951,92.558,93.744,1.0,1.01,192.6,-118.6,74.0,1340.92,-833.93,506.99
DIVERGENCE,2022-04-05 19:40:00,2022-07-14 19:40:00,2400.0,Time Limit,AUDJPY,CADJPY,BUY,SELL,26.562499999998863,70.17543859649166,0.04240000000000066,0.03919999999999675,93.78,93.494,99.187,105.911,1.0,1.08,-28.6,-672.4,-701.0,-199.11,-5055.64,-5254.75
DIVERGENCE,2022-10-04 18:50:00,2022-10-05 18:50:00,24.0,Profit Target,AUDJPY,CADJPY,BUY,SELL,10.291595197255745,83.68200836820252,0.08060000000000116,0.05920000000000129,93.627,93.555,106.485,105.89,1.0,1.36,-7.2,59.5,52.3,-50.13,563.35,513.22
DIVERGENCE,2022-10-10 18:15:00,2022-10-11 10:00:00,15.8,Profit Target,AUDJPY,CADJPY,BUY,SELL,26.256077795785174,78.41269841269639,0.08299999999999841,0.0660000000000025,91.526,91.191,106.027,105.185,1.0,1.26,-33.5,84.2,50.7,-233.23,738.6,505.37
DIVERGENCE,2022-10-11 21:00:00,2022-10-26 17:00:00,356.0,Profit Target,AUDJPY,CADJPY,BUY,SELL,27.033492822968455,73.33333333333135,0.05659999999999741,0.04780000000000371,92.024,94.879,106.077,107.418,1.0,1.18,285.5,-134.1,151.4,1987.66,-1101.63,886.03
DIVERGENCE,2022-11-09 11:45:00,2022-11-10 15:30:00,27.8,Profit Target,AUDJPY,CADJPY,BUY,SELL,28.2857142857129,71.05263157894943,0.0686000000000007,0.052800000000002,94.53,94.183,108.446,107.443,1.0,1.3,-34.7,100.3,65.6,-241.58,907.76,666.18
DIVERGENCE,2022-11-10 15:30:00,2023-02-20 00:00:00,2432.5,Time Limit,AUDJPY,CADJPY,SELL,BUY,81.38987043580677,15.012722646310038,0.19119999999999493,0.1830000000000041,94.183,92.161,107.443,99.522,1.0,1.04,202.2,-792.1,-589.9,1407.67,-5735.14,-4327.47
DIVERGENCE,2023-03-09 06:50:00,2023-04-03 00:05:00,593.2,Profit Target,AUDJPY,CADJPY,SELL,BUY,72.09302325581515,29.533678756472952,0.04059999999999775,0.024800000000001887,90.399,89.042,99.094,98.707,1.0,1.64,135.7,-38.7,97.0,944.72,-441.86,502.86
DIVERGENCE,2023-04-03 14:45:00,2023-04-06 17:10:00,74.4,Profit Target,AUDJPY,CADJPY,SELL,BUY,74.94199535963014,29.440389294403616,0.07840000000000202,0.05879999999999939,89.745,87.811,98.699,97.814,1.0,1.33,193.4,-88.5,104.9,1346.42,-819.46,526.96
DIVERGENCE,2023-04-20 09:00:00,2023-04-28 17:05:00,200.1,Profit Target,AUDJPY,CADJPY,SELL,BUY,71.42857142857343,26.701570680628947,0.03939999999999486,0.030600000000004002,90.431,89.864,99.982,100.122,1.0,1.29,56.7,14.0,70.7,394.74,125.73,520.47
DIVERGENCE,2023-05-10 15:45:00,2023-05-16 05:00:00,133.2,Profit Target,AUDJPY,CADJPY,SELL,BUY,78.95791583166458,29.87804878048982,0.14420000000000072,0.1298000000000002,91.598,90.936,100.864,100.929,1.0,1.11,66.2,6.5,72.7,460.88,50.23,511.11
DIVERGENCE,2023-05-31 20:50:00,2023-06-02 19:55:00,47.1,Profit Target,AUDJPY,CADJPY,SELL,BUY,86.66666666666767,23.14049586776845,0.08559999999999945,0.045599999999996046,90.522,92.5,102.628,104.07,1.0,1.88,-197.8,144.2,-53.6,-1377.06,1887.38,510.32
DIVERGENCE,2023-06-13 21:25:00,2023-06-14 17:15:00,19.8,Profit Target,AUDJPY,CADJPY,BUY,SELL,27.64976958525284,72.62773722627642,0.038599999999999565,0.03900000000000148,94.821,95.188,105.377,104.998,1.0,0.99,36.7,37.9,74.6,255.51,261.22,516.73
DIVERGENCE,2023-06-30 15:40:00,2023-08-02 17:25:00,793.8,Profit Target,AUDJPY,CADJPY,SELL,BUY,76.5363128491635,16.80440771349734,0.09040000000000532,0.08099999999999738,95.98,93.802,108.808,107.561,1.0,1.12,217.8,-124.7,93.1,1516.3,-972.35,543.95
DIVERGENCE,2023-08-17 04:45:00,2023-08-17 13:40:00,8.9,Profit Target,AUDJPY,CADJPY,BUY,SELL,29.751131221720684,70.64220183486418,0.18080000000000213,0.03919999999999675,93.346,93.897,108.132,108.06,1.0,4.61,55.1,7.2,62.3,383.61,231.08,614.69
DIVERGENCE,2023-09-04 06:50:00,2023-11-02 03:15:00,1412.4,Profit Target,AUDJPY,CADJPY,BUY,SELL,26.923076923074518,72.85714285714258,0.023400000000000885,0.017200000000002547,94.502,96.734,107.598,108.706,1.0,1.36,223.2,-110.8,112.4,1553.92,-1049.06,504.86
DIVERGENCE,2023-11-03 14:30:00,2023-11-07 06:40:00,88.2,Profit Target,AUDJPY,CADJPY,SELL,BUY,89.32714617169512,28.39506172839674,0.09399999999999978,0.08100000000000022,97.118,96.747,109.164,109.484,1.0,1.16,37.1,32.0,69.1,258.28,258.43,516.71
DIVERGENCE,2023-11-20 06:10:00,2023-12-05 11:00:00,364.8,Profit Target,AUDJPY,CADJPY,SELL,BUY,73.7179487179472,25.506072874494905,0.05379999999999825,0.04940000000000282,97.604,96.698,108.664,108.497,1.0,1.09,90.6,-16.7,73.9,630.74,-126.73,504.01
