Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-05 19:50:00,2021-01-11 04:05:00,128.2,Profit Target,AUDUSD,AUDCAD,SELL,BUY,76.66666666666359,28.16901408450721,0.00028999999999999024,0.00040599999999999523,0.77616,0.76974,0.98416,0.98167,1.0,0.71,64.2,-24.9,39.3,642.0,-129.42,512.58
DIVERGENCE,2021-01-20 17:30:00,2021-01-22 11:40:00,42.2,Profit Target,AUDUSD,AUDCAD,SELL,BUY,71.02526002971763,27.475592747558508,0.0006839999999999957,0.0007840000000000069,0.7759,0.77205,0.9782,0.98037,1.0,0.87,38.5,21.7,60.2,385.0,138.21,523.21
DIVERGENCE,2021-01-25 14:35:00,2021-02-15 18:45:00,508.2,Profit Target,AUDUSD,AUDCAD,BUY,SELL,29.24528301886714,70.16129032258621,0.00035199999999995234,0.00030000000000001136,0.77206,0.77855,0.98209,0.98379,1.0,1.17,64.9,-17.0,47.9,649.0,-145.59,503.41
DIVERGENCE,2021-02-18 22:05:00,2021-03-05 12:45:00,350.7,Profit Target,AUDUSD,AUDCAD,SELL,BUY,83.09859154930072,28.834355828223536,0.00020400000000000417,0.00028599999999998624,0.77697,0.76625,0.98506,0.9741,1.0,0.71,107.2,-109.6,-2.4,1072.0,-569.66,502.34
DIVERGENCE,2021-03-09 18:25:00,2021-03-11 09:45:00,39.3,Profit Target,AUDUSD,AUDCAD,BUY,SELL,27.096774193547873,73.30827067669212,0.00037799999999998946,0.000521999999999978,0.76983,0.77751,0.97453,0.97951,1.0,0.72,76.8,-49.8,27.0,768.0,-262.46,505.54
DIVERGENCE,2021-03-11 19:20:00,2021-03-24 01:50:00,294.5,Profit Target,AUDUSD,AUDCAD,SELL,BUY,70.16806722689046,27.225130890053634,0.00030600000000002847,0.00033399999999998985,0.77743,0.76008,0.97558,0.95744,1.0,0.92,173.5,-181.4,-7.9,1735.0,-1221.72,513.28
DIVERGENCE,2021-04-05 15:55:00,2021-04-07 09:15:00,41.3,Profit Target,AUDUSD,AUDCAD,SELL,BUY,70.72072072072041,25.45454545454838,0.00041200000000001235,0.0003619999999999957,0.76359,0.76435,0.95667,0.96364,1.0,1.14,-7.6,69.7,62.1,-76.0,581.68,505.68
DIVERGENCE,2021-04-21 17:20:00,2021-06-17 11:35:00,1362.2,Profit Target,AUDUSD,AUDCAD,SELL,BUY,78.8583509513729,19.72198088618525,0.0007900000000000019,0.002175999999999978,0.77371,0.7606,0.96704,0.93633,1.0,0.36,131.1,-307.1,-176.0,1311.0,-809.34,501.66
DIVERGENCE,2021-06-18 18:20:00,2021-06-21 17:45:00,71.4,Profit Target,AUDUSD,AUDCAD,BUY,SELL,12.874251497006753,79.84126984126985,0.0007280000000000175,0.0010379999999999834,0.74857,0.75343,0.93313,0.93279,1.0,0.7,48.6,3.4,52.0,486.0,17.42,503.42
DIVERGENCE,2021-06-30 18:55:00,2021-07-02 21:20:00,50.4,Profit Target,AUDUSD,AUDCAD,BUY,SELL,19.600000000000037,70.05347593582923,0.0003160000000000052,0.0004479999999999817,0.74953,0.75317,0.92979,0.92716,1.0,0.71,36.4,26.3,62.7,364.0,136.68,500.68
DIVERGENCE,2021-07-05 15:15:00,2021-10-13 15:15:00,2400.0,Time Limit,AUDUSD,AUDCAD,BUY,SELL,23.43750000000297,73.55371900826651,0.00026400000000001975,0.00023999999999997358,0.75269,0.73526,0.93066,0.91481,1.0,1.1,-174.3,158.5,-15.8,-1743.0,1276.27,-466.73
DIVERGENCE,2021-10-14 09:30:00,2021-11-10 20:50:00,659.3,Profit Target,AUDUSD,AUDCAD,SELL,BUY,74.84662576687016,29.452054794520805,0.0002740000000000187,0.00028799999999995496,0.73927,0.73409,0.91699,0.91686,1.0,0.95,51.8,-1.3,50.5,518.0,-9.04,508.96
DIVERGENCE,2021-11-26 21:55:00,2021-12-08 04:15:00,270.3,Profit Target,AUDUSD,AUDCAD,BUY,SELL,28.57142857142142,75.5775577557701,0.00036999999999998145,0.0006859999999999644,0.71183,0.71332,0.91018,0.90124,1.0,0.54,14.9,89.4,104.3,149.0,353.4,502.4
DIVERGENCE,2021-12-09 22:10:00,2021-12-31 17:40:00,523.5,Profit Target,AUDUSD,AUDCAD,BUY,SELL,26.61870503596984,70.64676616915462,0.00023999999999997358,0.00028799999999999936,0.71453,0.72594,0.90864,0.91873,1.0,0.83,114.1,-100.9,13.2,1141.0,-613.07,527.93
DIVERGENCE,2022-01-06 12:00:00,2022-02-24 17:55:00,1181.9,Profit Target,AUDUSD,AUDCAD,SELL,BUY,74.3961352656966,29.326923076921886,0.00029800000000002047,0.00029799999999997607,0.71597,0.70953,0.91499,0.91359,1.0,1.0,64.4,-14.0,50.4,644.0,-102.5,541.5
DIVERGENCE,2022-03-01 19:05:00,2022-03-02 20:50:00,25.8,Profit Target,AUDUSD,AUDCAD,BUY,SELL,18.31501831502213,73.42657342657093,0.0004479999999999817,0.0004399999999999737,0.72428,0.73043,0.92163,0.92306,1.0,1.02,61.5,-14.3,47.2,615.0,-106.78,508.22
