Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-01-16 03:50:00,2020-02-11 02:20:00,622.5,Profit Target,EURAUD,EURNZD,SELL,BUY,74.72924187725458,29.72027972027945,0.0005180000000000184,0.0005379999999999274,1.61437,1.63129,1.68118,1.70912,1.0,0.96,-169.2,279.4,110.2,-1111.07,1631.53,520.46
DIVERGENCE,2020-07-06 21:20:00,2020-07-21 11:20:00,350.0,Profit Target,EURAUD,EURNZD,SELL,BUY,72.52747252746354,28.57142857143188,0.0002980000000000427,0.00048000000000003595,1.62188,1.62112,1.72479,1.737,1.0,0.62,7.6,122.1,129.7,49.91,460.47,510.38
DIVERGENCE,2020-08-05 05:10:00,2020-09-18 05:00:00,1055.8,Profit Target,EURAUD,EURNZD,BUY,SELL,28.316831683164096,70.52023121387502,0.0007859999999999979,0.0006639999999999535,1.64431,1.6193,1.77907,1.749,1.0,1.18,-250.1,300.7,50.6,-1642.51,2157.95,515.44
DIVERGENCE,2020-12-14 06:55:00,2021-02-02 11:15:00,1204.3,Profit Target,EURAUD,EURNZD,BUY,SELL,28.42639593908372,83.52059925093617,0.0003900000000000237,0.00035199999999999674,1.60903,1.58354,1.7123,1.67987,1.0,1.11,-254.9,324.3,69.4,-1674.06,2189.25,515.19
DIVERGENCE,2021-02-03 11:50:00,2021-05-14 11:50:00,2400.0,Time Limit,EURAUD,EURNZD,BUY,SELL,25.000000000003183,71.33757961783684,0.0006220000000000337,0.0005759999999999544,1.5783800000000001,1.56597,1.67066,1.68303,1.0,1.08,-124.1,-123.7,-247.8,-815.01,-812.49,-1627.5
DIVERGENCE,2021-06-28 00:00:00,2021-10-06 00:00:00,2400.0,Time Limit,EURAUD,EURNZD,SELL,BUY,70.24999999999717,11.681643132216067,0.0007540000000000102,0.001747999999999994,1.57363,1.59029,1.68276,1.6625999999999999,1.0,0.43,-166.6,-201.6,-368.2,-1093.93,-527.29,-1621.22
DIVERGENCE,2021-10-11 03:00:00,2021-10-11 14:10:00,11.2,Profit Target,EURAUD,EURNZD,SELL,BUY,73.76543209876596,28.132387706859774,0.0005260000000000264,0.0006040000000000045,1.58508,1.5750899999999999,1.6703299999999999,1.66742,1.0,0.87,99.9,-29.1,70.8,655.96,-153.99,501.97
DIVERGENCE,2021-10-14 22:25:00,2021-10-27 03:35:00,293.2,Profit Target,EURAUD,EURNZD,SELL,BUY,70.41420118343467,29.452054794526177,0.0002900000000000347,0.0005299999999999639,1.56405,1.54032,1.64886,1.61893,1.0,0.55,237.3,-299.3,-62.0,1558.16,-1001.29,556.87
DIVERGENCE,2021-11-02 00:45:00,2021-11-02 08:00:00,7.2,Profit Target,EURAUD,EURNZD,BUY,SELL,23.20819112627956,76.68269230769116,0.00025199999999991896,0.00043200000000003235,1.54215,1.5526499999999999,1.6148,1.61944,1.0,0.58,105.0,-46.4,58.6,689.57,-163.67,525.9
DIVERGENCE,2021-12-09 22:35:00,2021-12-15 13:00:00,134.4,Profit Target,EURAUD,EURNZD,SELL,BUY,77.57575757576818,21.96531791907492,0.00035199999999995234,0.0003259999999999597,1.58013,1.5811899999999999,1.66248,1.67199,1.0,1.08,-10.6,95.1,84.5,-69.6,624.73,555.13
DIVERGENCE,2021-12-24 04:35:00,2022-01-06 08:00:00,315.4,Profit Target,EURAUD,EURNZD,BUY,SELL,29.914529914533162,70.48192771084345,0.00035600000000002296,0.0009160000000000057,1.56459,1.5771600000000001,1.6615799999999998,1.67476,1.0,0.39,125.7,-131.8,-6.1,825.48,-312.61,512.87
DIVERGENCE,2022-07-29 00:00:00,2022-08-02 03:40:00,99.7,Profit Target,EURAUD,EURNZD,BUY,SELL,26.94736842105135,74.30441898527184,0.0007160000000000722,0.0014339999999999353,1.45695,1.4651399999999999,1.62298,1.62306,1.0,0.5,81.9,-0.8,81.1,537.84,-2.43,535.41
DIVERGENCE,2022-08-16 07:45:00,2022-08-17 05:10:00,21.4,Profit Target,EURAUD,EURNZD,BUY,SELL,29.289940828404283,74.77203647416266,0.00039200000000003674,0.00036999999999998145,1.44558,1.45105,1.59839,1.59585,1.0,1.06,54.7,25.4,80.1,359.21,163.74,522.95
DIVERGENCE,2022-11-14 00:10:00,2022-11-15 15:40:00,39.5,Profit Target,EURAUD,EURNZD,BUY,SELL,12.808988764051264,70.92819614711259,0.0020560000000000578,0.00184400000000009,1.5404499999999999,1.54468,1.69477,1.6910500000000002,1.0,1.11,42.3,37.2,79.5,277.79,251.13,528.92
DIVERGENCE,2023-02-07 06:15:00,2023-02-09 10:00:00,51.8,Profit Target,EURAUD,EURNZD,BUY,SELL,26.68463611859704,70.07389162561626,0.0014179999999999638,0.001103999999999905,1.54683,1.5398800000000001,1.6992,1.68685,1.0,1.28,-69.5,123.5,54.0,-456.42,961.4,504.98
DIVERGENCE,2023-03-06 02:55:00,2023-06-06 07:30:00,2212.6,Profit Target,EURAUD,EURNZD,SELL,BUY,72.22222222223208,27.64705882352891,0.0005079999999999974,0.000541999999999998,1.5739800000000002,1.60836,1.70967,1.76146,1.0,0.94,-343.8,517.9,174.1,-2257.43,2961.12,703.69
DIVERGENCE,2023-06-12 03:50:00,2023-06-14 15:40:00,59.8,Profit Target,EURAUD,EURNZD,BUY,SELL,28.979591836733476,70.07042253520389,0.000512000000000068,0.00043399999999995666,1.59267,1.59229,1.75484,1.74682,1.0,1.18,-3.8,80.2,76.4,-24.95,575.55,550.6
DIVERGENCE,2023-06-14 15:40:00,2023-06-16 08:55:00,41.2,Profit Target,EURAUD,EURNZD,SELL,BUY,70.38724373576208,26.555386949922706,0.0009459999999999802,0.0016480000000000938,1.59229,1.58826,1.74682,1.75387,1.0,0.57,40.3,70.5,110.8,264.61,244.43,509.04
DIVERGENCE,2023-07-10 22:40:00,2023-10-02 06:30:00,1999.8,Profit Target,EURAUD,EURNZD,BUY,SELL,29.29292929293382,72.76785714285289,0.00030799999999997496,0.0002939999999999277,1.6470099999999999,1.64817,1.7702200000000001,1.76322,1.0,1.05,11.6,70.0,81.6,76.18,447.0,523.18
DIVERGENCE,2023-11-20 00:00:00,2023-11-22 13:25:00,61.4,Profit Target,EURAUD,EURNZD,SELL,BUY,72.50755287009102,25.18796992481117,0.0012740000000000418,0.0020359999999998825,1.67588,1.6600899999999998,1.8188900000000001,1.80505,1.0,0.63,157.9,-138.4,19.5,1036.79,-530.35,506.44
DIVERGENCE,2024-02-13 21:50:00,2024-02-16 09:00:00,59.2,Profit Target,EURAUD,EURNZD,SELL,BUY,70.19230769230575,26.34408602150242,0.00044800000000000395,0.000530000000000097,1.66075,1.65012,1.76877,1.76513,1.0,0.85,106.3,-36.4,69.9,697.98,-188.2,509.78
DIVERGENCE,2024-03-28 07:45:00,2024-04-04 11:25:00,171.7,Profit Target,EURAUD,EURNZD,SELL,BUY,73.22580645161554,26.027397260273133,0.0004579999999998918,0.0005660000000000664,1.65794,1.64485,1.80512,1.79785,1.0,0.81,130.9,-72.7,58.2,859.5,-358.19,501.31
