Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-01-02 18:40:00,2020-01-23 02:50:00,488.2,Profit Target,EURAUD,GBPAUD,SELL,BUY,73.26732673267401,29.741379310345295,0.000693999999999928,0.0010999999999999678,1.60036,1.6127799999999999,1.88114,1.91295,1.0,0.63,-124.2,318.1,193.9,-815.84,1316.61,500.77
DIVERGENCE,2020-01-23 13:35:00,2020-02-12 19:05:00,485.5,Profit Target,EURAUD,GBPAUD,SELL,BUY,71.09634551494696,23.004694835683495,0.00041000000000006586,0.0007979999999999432,1.61482,1.61443,1.90984,1.9240599999999999,1.0,0.51,3.9,142.2,146.1,25.62,476.45,502.07
DIVERGENCE,2020-02-13 14:15:00,2020-02-20 03:30:00,157.2,Profit Target,EURAUD,GBPAUD,BUY,SELL,28.113207547171044,75.5764304013654,0.0009199999999999875,0.0023940000000000515,1.6133199999999999,1.62357,1.9353799999999999,1.94146,1.0,0.38,102.5,-60.8,41.7,673.39,-151.77,521.62
DIVERGENCE,2020-03-04 14:30:00,2020-03-05 23:40:00,33.2,Profit Target,EURAUD,GBPAUD,BUY,SELL,27.538726333908457,77.10064635272445,0.0006739999999999746,0.0014459999999999694,1.6805400000000001,1.70015,1.9351699999999998,1.9599199999999999,1.0,0.47,196.1,-247.5,-51.4,1288.32,-764.12,524.2
DIVERGENCE,2020-03-06 17:35:00,2020-03-06 18:55:00,1.3,Profit Target,EURAUD,GBPAUD,BUY,SELL,28.31491712706925,71.62899454403625,0.0024179999999999423,0.0017739999999999423,1.70484,1.7059600000000001,1.9657,1.96055,1.0,1.36,11.2,51.5,62.7,73.58,460.08,533.66
DIVERGENCE,2020-03-26 10:05:00,2020-03-26 11:45:00,1.7,Profit Target,EURAUD,GBPAUD,BUY,SELL,27.495769881557962,71.60021845985914,0.0026039999999999176,0.0040179999999999435,1.8357700000000001,1.8367,2.00371,1.99341,1.0,0.65,9.3,103.0,112.3,61.1,439.78,500.88
DIVERGENCE,2020-04-21 13:05:00,2020-04-23 12:50:00,47.8,Profit Target,EURAUD,GBPAUD,SELL,BUY,70.60931899641555,24.324324324322205,0.0015520000000000423,0.0015499999999999848,1.72455,1.69798,1.96341,1.94454,1.0,1.0,265.7,-188.7,77.0,1745.33,-1239.74,505.59
DIVERGENCE,2020-05-07 10:00:00,2020-05-07 16:20:00,6.3,Profit Target,EURAUD,GBPAUD,BUY,SELL,27.180527383367775,72.49357326478152,0.0011460000000000914,0.001291999999999982,1.67549,1.6733799999999999,1.92289,1.90999,1.0,0.89,-21.1,129.0,107.9,-138.62,754.16,615.54
DIVERGENCE,2020-05-08 17:15:00,2020-05-11 13:25:00,68.2,Profit Target,EURAUD,GBPAUD,BUY,SELL,29.685534591196273,70.34482758620763,0.0012740000000000863,0.0016419999999999658,1.65964,1.66794,1.90097,1.8999899999999998,1.0,0.78,83.0,9.8,92.8,545.3,50.21,595.51
DIVERGENCE,2020-05-18 19:05:00,2020-05-19 22:00:00,26.9,Profit Target,EURAUD,GBPAUD,SELL,BUY,72.31404958677633,27.33727810650906,0.001558000000000126,0.001429999999999998,1.67632,1.66636,1.8725,1.8706,1.0,1.09,99.6,-19.0,80.6,654.25,-136.06,518.19
DIVERGENCE,2020-05-20 10:10:00,2020-05-26 09:55:00,143.8,Profit Target,EURAUD,GBPAUD,SELL,BUY,72.23974763406873,22.98025134649785,0.0009820000000000384,0.001102000000000114,1.67352,1.65821,1.86929,1.8609499999999999,1.0,0.89,153.1,-83.4,69.7,1005.68,-487.66,518.02
DIVERGENCE,2020-05-29 11:55:00,2020-05-29 14:55:00,3.0,Profit Target,EURAUD,GBPAUD,SELL,BUY,73.49537037037075,29.003783102142222,0.001169999999999849,0.0010799999999999699,1.67201,1.66995,1.84893,1.85436,1.0,1.08,20.6,54.3,74.9,135.32,385.29,520.61
DIVERGENCE,2020-06-05 15:15:00,2020-06-11 17:05:00,145.8,Profit Target,EURAUD,GBPAUD,BUY,SELL,29.641693811073253,78.55855855856105,0.001205999999999996,0.0012479999999999603,1.6225100000000001,1.64829,1.81436,1.83257,1.0,0.97,257.8,-182.1,75.7,1693.72,-1160.29,533.43
DIVERGENCE,2020-06-26 16:05:00,2020-07-01 13:15:00,117.2,Profit Target,EURAUD,GBPAUD,SELL,BUY,76.38190954773648,27.832512315274016,0.0006799999999999695,0.0009259999999999379,1.63305,1.62268,1.80047,1.79757,1.0,0.73,103.7,-29.0,74.7,681.18,-139.08,542.1
DIVERGENCE,2020-07-08 20:40:00,2020-07-13 22:15:00,121.6,Profit Target,EURAUD,GBPAUD,BUY,SELL,25.0,70.1923076923079,0.00046199999999987364,0.0006159999999999944,1.62473,1.63334,1.80659,1.8079100000000001,1.0,0.75,86.1,-13.2,72.9,565.67,-65.03,500.64
DIVERGENCE,2020-07-17 17:30:00,2020-07-17 23:50:00,6.3,Profit Target,EURAUD,GBPAUD,SELL,BUY,76.09195402299198,21.92192192191621,0.0005380000000000162,0.0005100000000000104,1.63829,1.63296,1.79365,1.7962099999999999,1.0,1.05,53.3,25.6,78.9,350.12,176.6,526.72
DIVERGENCE,2020-07-20 10:10:00,2020-09-10 17:00:00,1254.8,Profit Target,EURAUD,GBPAUD,BUY,SELL,16.48745519712608,75.05112474437433,0.0006379999999999164,0.0009899999999999133,1.6384400000000001,1.6266500000000002,1.79751,1.76692,1.0,0.64,-117.9,305.9,188.0,-774.6,1286.07,511.47
DIVERGENCE,2020-09-11 12:30:00,2020-09-15 14:05:00,97.6,Profit Target,EURAUD,GBPAUD,SELL,BUY,71.69811320754653,22.948328267477265,0.0004939999999999944,0.0015219999999998902,1.62652,1.6213899999999999,1.75326,1.76145,1.0,0.32,51.3,81.9,133.2,336.99,172.18,509.17
DIVERGENCE,2020-09-15 20:15:00,2020-09-22 10:45:00,158.5,Profit Target,EURAUD,GBPAUD,BUY,SELL,20.90032154341,75.34246575342596,0.0004060000000000397,0.0008080000000000975,1.62189,1.63188,1.7657,1.7702200000000001,1.0,0.5,99.9,-45.2,54.7,656.33,-148.46,507.87
DIVERGENCE,2020-09-28 15:40:00,2020-10-01 09:15:00,65.6,Profit Target,EURAUD,GBPAUD,SELL,BUY,76.46293888166088,15.12770137523816,0.0009839999999999183,0.0017620000000000413,1.6537600000000001,1.63324,1.82273,1.79999,1.0,0.56,205.2,-227.4,-22.2,1347.96,-836.64,511.32
DIVERGENCE,2020-10-01 15:10:00,2020-10-01 16:55:00,1.8,Profit Target,EURAUD,GBPAUD,BUY,SELL,22.718052738338898,80.89080459770145,0.0008340000000000459,0.0012200000000000433,1.6317599999999999,1.63428,1.7984900000000001,1.79023,1.0,0.68,25.2,82.6,107.8,165.56,368.97,534.53
DIVERGENCE,2020-10-05 20:30:00,2020-10-06 14:00:00,17.5,Profit Target,EURAUD,GBPAUD,BUY,SELL,19.917012448134074,74.75000000000388,0.00031800000000008487,0.0007040000000000379,1.63981,1.64832,1.80783,1.80972,1.0,0.45,85.1,-18.9,66.2,559.1,-55.87,503.23
DIVERGENCE,2020-10-07 12:20:00,2020-10-08 11:10:00,22.8,Profit Target,EURAUD,GBPAUD,SELL,BUY,71.65354330708558,24.553571428575978,0.0005000000000000782,0.0008519999999999861,1.64931,1.64151,1.8079,1.8084799999999999,1.0,0.59,78.0,5.8,83.8,512.38,22.48,534.86
DIVERGENCE,2020-10-09 11:25:00,2020-10-09 22:55:00,11.5,Profit Target,EURAUD,GBPAUD,SELL,BUY,75.09225092251086,22.45989304812946,0.0007500000000000284,0.001567999999999925,1.6409099999999999,1.6336300000000001,1.80099,1.8017699999999999,1.0,0.48,72.8,7.8,80.6,478.22,24.6,502.82
DIVERGENCE,2020-10-13 21:00:00,2020-10-14 16:00:00,19.0,Profit Target,EURAUD,GBPAUD,SELL,BUY,73.87387387386667,26.600985221674435,0.000546000000000113,0.0009979999999999213,1.64051,1.63653,1.80716,1.81387,1.0,0.55,39.8,67.1,106.9,261.45,242.46,503.91
DIVERGENCE,2020-10-19 10:25:00,2020-10-19 16:00:00,5.6,Profit Target,EURAUD,GBPAUD,BUY,SELL,25.94142259413927,78.42835130970192,0.0005640000000000977,0.001138000000000039,1.64994,1.6591399999999998,1.8276,1.8294899999999998,1.0,0.5,92.0,-18.9,73.1,604.43,-62.08,542.35
DIVERGENCE,2020-10-26 09:10:00,2020-10-26 11:25:00,2.2,Profit Target,EURAUD,GBPAUD,SELL,BUY,86.02620087336727,29.738562091504505,0.00038599999999995306,0.0005879999999999441,1.6644,1.65497,1.82924,1.82727,1.0,0.66,94.3,-19.7,74.6,619.46,-85.42,534.04
DIVERGENCE,2020-11-02 00:10:00,2020-11-03 10:55:00,34.8,Profit Target,EURAUD,GBPAUD,SELL,BUY,70.83333333333749,27.799227799228902,0.0005560000000000009,0.0014360000000000373,1.658,1.6447,1.83928,1.8266499999999999,1.0,0.39,133.0,-126.3,6.7,873.68,-323.61,550.07
DIVERGENCE,2020-11-04 10:10:00,2020-11-09 17:55:00,127.8,Profit Target,EURAUD,GBPAUD,SELL,BUY,71.89597315436255,29.004665629858692,0.0021500000000000074,0.0026839999999999087,1.64673,1.62092,1.8250199999999999,1.8023799999999999,1.0,0.8,258.1,-226.4,31.7,1695.46,-1189.94,505.52
DIVERGENCE,2020-11-10 11:40:00,2020-11-12 13:55:00,50.2,Profit Target,EURAUD,GBPAUD,BUY,SELL,22.28260869565257,75.23809523809615,0.0008140000000000036,0.0013940000000000285,1.6212,1.62632,1.81697,1.81125,1.0,0.58,51.2,57.2,108.4,336.38,217.93,554.31
DIVERGENCE,2020-11-13 23:05:00,2020-12-02 09:55:00,442.8,Profit Target,EURAUD,GBPAUD,BUY,SELL,25.00000000000486,72.88135593220441,0.00040200000000005786,0.00047599999999996533,1.62778,1.63472,1.81522,1.8119800000000001,1.0,0.84,69.4,32.4,101.8,455.95,178.78,634.73
DIVERGENCE,2020-12-03 11:10:00,2020-12-07 10:10:00,95.0,Profit Target,EURAUD,GBPAUD,BUY,SELL,24.33628318583628,70.9677419354826,0.0007119999999999571,0.0009059999999999402,1.6304699999999999,1.63452,1.80484,1.7965,1.0,0.79,40.5,83.4,123.9,266.08,432.81,698.89
DIVERGENCE,2020-12-07 10:30:00,2020-12-09 10:15:00,47.8,Profit Target,EURAUD,GBPAUD,SELL,BUY,75.80952380952274,25.96754057428089,0.0010720000000000508,0.002666000000000057,1.63449,1.62775,1.7947199999999999,1.79992,1.0,0.4,67.4,52.0,119.4,442.75,136.65,579.4
DIVERGENCE,2020-12-09 10:30:00,2020-12-11 10:35:00,48.1,Profit Target,EURAUD,GBPAUD,BUY,SELL,24.742268041235405,76.90288713910546,0.0006979999999999542,0.0012199999999999544,1.62741,1.6108500000000001,1.7992,1.7553800000000002,1.0,0.57,-165.6,438.2,272.6,-1087.98,1640.77,552.79
DIVERGENCE,2020-12-14 00:00:00,2020-12-15 05:20:00,29.3,Profit Target,EURAUD,GBPAUD,BUY,SELL,24.999999999997797,84.197530864197,0.0007940000000000502,0.003206000000000042,1.60622,1.616,1.76651,1.7732700000000001,1.0,0.25,97.8,-67.6,30.2,642.54,-111.02,531.52
DIVERGENCE,2020-12-15 18:20:00,2020-12-21 08:55:00,134.6,Profit Target,EURAUD,GBPAUD,BUY,SELL,29.347826086954214,78.18965517241266,0.0008700000000000596,0.0027360000000000275,1.60972,1.6131799999999998,1.78049,1.7669700000000002,1.0,0.32,34.6,135.2,169.8,227.32,284.2,511.52
DIVERGENCE,2020-12-21 09:40:00,2020-12-21 21:20:00,11.7,Profit Target,EURAUD,GBPAUD,SELL,BUY,85.68872987477508,23.609226594302626,0.0008880000000000444,0.0017520000000000203,1.61541,1.6127099999999999,1.7620900000000002,1.7761900000000002,1.0,0.51,27.0,141.0,168.0,177.36,472.44,649.8
DIVERGENCE,2020-12-21 21:20:00,2020-12-22 11:55:00,14.6,Profit Target,EURAUD,GBPAUD,BUY,SELL,23.79603399433269,80.93070308548307,0.0007640000000000757,0.004833999999999961,1.6127099999999999,1.62112,1.7761900000000002,1.7809300000000001,1.0,0.16,84.1,-47.4,36.7,552.53,-49.82,502.71
DIVERGENCE,2020-12-22 19:45:00,2021-04-01 19:45:00,2400.0,Time Limit,EURAUD,GBPAUD,BUY,SELL,28.143712574852287,75.91623036649237,0.0005279999999999064,0.0008039999999999825,1.61615,1.5470000000000002,1.77393,1.81692,1.0,0.66,-691.5,-429.9,-1121.4,-4543.09,-1863.85,-6406.94
