Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-04 14:05:00,2021-01-05 21:40:00,31.6,Profit Target,EURJPY,AUDJPY,SELL,BUY,72.28464419475685,27.027027027027017,0.04420000000000357,0.036799999999996655,126.482,126.267,79.398,79.822,1.0,1.2,21.5,42.4,63.9,149.61,354.07,503.68
DIVERGENCE,2021-01-11 12:25:00,2021-01-28 09:25:00,405.0,Profit Target,EURJPY,AUDJPY,BUY,SELL,28.354430379747356,71.2962962962963,0.052599999999998204,0.04320000000000164,126.603,126.112,80.381,79.365,1.0,1.22,-49.1,101.6,52.5,-341.68,862.56,520.88
DIVERGENCE,2021-01-28 18:10:00,2021-02-01 00:00:00,77.8,Profit Target,EURJPY,AUDJPY,BUY,SELL,26.58227848101346,72.4576271186447,0.052000000000001025,0.044800000000003594,126.456,127.077,80.035,79.872,1.0,1.16,62.1,16.3,78.4,432.15,131.58,563.73
DIVERGENCE,2021-02-01 16:45:00,2021-02-03 12:20:00,43.6,Profit Target,EURJPY,AUDJPY,SELL,BUY,72.07547169811163,24.714828897339785,0.047999999999996136,0.05720000000000027,126.924,126.255,79.957,80.032,1.0,0.84,66.9,7.5,74.4,465.54,43.84,509.38
DIVERGENCE,2021-03-01 16:40:00,2021-03-05 12:40:00,92.0,Profit Target,EURJPY,AUDJPY,BUY,SELL,26.51757188498452,72.70270270270224,0.05779999999999745,0.06380000000000052,128.394,129.559,82.719,83.194,1.0,0.91,116.5,-47.5,69.0,810.73,-300.8,509.93
DIVERGENCE,2021-03-15 13:20:00,2021-06-23 13:20:00,2400.0,Time Limit,EURJPY,AUDJPY,SELL,BUY,71.33757961782621,22.58064516128843,0.024599999999986723,0.031799999999998364,130.129,132.584,84.432,84.001,1.0,0.77,-245.5,-43.1,-288.6,-1708.47,-230.96,-1939.43
DIVERGENCE,2021-07-14 22:30:00,2021-10-07 18:30:00,2036.0,Profit Target,EURJPY,AUDJPY,SELL,BUY,73.72881355932223,22.292993630578607,0.01999999999999318,0.023599999999999,130.199,128.923,82.23,81.582,1.0,0.85,127.6,-64.8,62.8,887.96,-383.31,504.65
DIVERGENCE,2021-10-20 23:55:00,2021-10-25 14:30:00,110.6,Profit Target,EURJPY,AUDJPY,SELL,BUY,80.20833333331638,29.120879120876296,0.016600000000005367,0.02980000000000018,133.192,132.058,85.849,85.145,1.0,0.56,113.4,-70.4,43.0,789.14,-274.36,514.78
DIVERGENCE,2021-11-17 11:05:00,2022-02-25 11:05:00,2400.0,Time Limit,EURJPY,AUDJPY,SELL,BUY,70.78651685393415,26.404494382017447,0.0410000000000025,0.026400000000003844,129.967,128.982,83.715,82.894,1.0,1.55,98.5,-82.1,16.4,685.45,-885.58,-200.13
DIVERGENCE,2022-03-07 03:15:00,2022-03-07 14:30:00,11.2,Profit Target,EURJPY,AUDJPY,BUY,SELL,20.303867403316758,70.42682926829343,0.12880000000000394,0.11200000000000046,124.665,125.575,85.117,85.085,1.0,1.15,91.0,3.2,94.2,633.28,25.61,658.89
DIVERGENCE,2022-03-07 19:40:00,2022-06-15 19:40:00,2400.0,Time Limit,EURJPY,AUDJPY,SELL,BUY,71.21212121211889,29.651162790699303,0.05999999999999943,0.06920000000000073,125.524,139.703,84.427,93.496,1.0,0.87,-1417.9,906.9,-511.0,-9866.67,5490.74,-4375.93
DIVERGENCE,2022-06-29 12:10:00,2022-06-29 17:10:00,5.0,Profit Target,EURJPY,AUDJPY,SELL,BUY,76.5550239234474,24.90842490842448,0.09920000000000755,0.05960000000000889,143.288,143.48,93.619,94.197,1.0,1.66,-19.2,57.8,38.6,-133.61,667.71,534.1
DIVERGENCE,2022-06-30 17:55:00,2022-07-05 12:45:00,114.8,Profit Target,EURJPY,AUDJPY,SELL,BUY,73.70600414078716,29.333333333334252,0.19920000000000188,0.15719999999999743,141.984,139.554,93.417,92.081,1.0,1.27,243.0,-133.6,109.4,1690.95,-1180.76,510.19
DIVERGENCE,2022-07-27 04:45:00,2022-07-28 04:20:00,23.6,Profit Target,EURJPY,AUDJPY,SELL,BUY,76.68161434977075,23.22775263951806,0.059000000000008865,0.15100000000000194,138.975,138.206,94.832,94.713,1.0,0.39,76.9,-11.9,65.0,535.12,-32.3,502.82
DIVERGENCE,2022-09-01 08:20:00,2022-09-07 03:15:00,138.9,Profit Target,EURJPY,AUDJPY,BUY,SELL,25.60553633217799,71.75572519084126,0.06699999999999591,0.057800000000000296,139.596,141.702,95.031,96.215,1.0,1.16,210.6,-118.4,92.2,1465.58,-955.73,509.85
DIVERGENCE,2022-09-12 00:00:00,2022-09-21 21:45:00,237.8,Profit Target,EURJPY,AUDJPY,SELL,BUY,71.15384615384744,17.825537294566573,0.09600000000000364,0.15920000000000414,143.458,142.095,97.101,96.041,1.0,0.6,136.3,-106.0,30.3,948.49,-442.59,505.9
DIVERGENCE,2022-09-30 17:25:00,2023-01-09 00:00:00,2406.6,Time Limit,EURJPY,AUDJPY,SELL,BUY,77.03889585947385,29.09760589318479,0.1198000000000036,0.11020000000000607,141.25,140.354,93.39,90.703,1.0,1.09,89.6,-268.7,-179.1,623.5,-2038.17,-1414.67
DIVERGENCE,2023-01-12 09:10:00,2023-01-12 15:30:00,6.3,Profit Target,EURJPY,AUDJPY,SELL,BUY,72.36580516898488,26.97947214076258,0.07999999999999545,0.06819999999999879,141.831,140.199,90.854,90.268,1.0,1.17,163.2,-58.6,104.6,1135.66,-477.12,658.54
DIVERGENCE,2023-01-17 17:45:00,2023-01-19 02:25:00,32.7,Profit Target,EURJPY,AUDJPY,BUY,SELL,21.943048576214665,72.79549718573995,0.1467999999999961,0.08799999999999955,138.78,138.672,89.633,89.121,1.0,1.67,-10.8,51.2,40.4,-75.16,594.99,519.83
DIVERGENCE,2023-02-09 17:45:00,2023-02-10 15:35:00,21.8,Profit Target,EURJPY,AUDJPY,SELL,BUY,71.77777777777398,25.355450236966846,0.05459999999999354,0.05459999999999639,140.951,139.686,91.186,90.662,1.0,1.0,126.5,-52.4,74.1,880.27,-364.65,515.62
DIVERGENCE,2023-02-14 14:55:00,2023-02-15 08:55:00,18.0,Profit Target,EURJPY,AUDJPY,BUY,SELL,26.03686635944392,70.34220532319559,0.07280000000000086,0.04039999999999964,142.031,142.748,92.226,92.201,1.0,1.8,71.7,2.5,74.2,498.96,31.31,530.27
DIVERGENCE,2023-02-20 15:25:00,2023-02-21 10:15:00,18.8,Profit Target,EURJPY,AUDJPY,BUY,SELL,25.58139534883587,72.17391304347836,0.05480000000000018,0.0417999999999978,143.084,143.946,92.639,92.691,1.0,1.31,86.2,-5.2,81.0,599.86,-47.4,552.46
DIVERGENCE,2023-02-23 21:30:00,2023-02-24 14:20:00,16.8,Profit Target,EURJPY,AUDJPY,BUY,SELL,24.13793103447854,71.53846153846129,0.037800000000004275,0.043000000000000684,142.602,143.343,91.615,91.568,1.0,0.88,74.1,4.7,78.8,515.66,28.78,544.44
DIVERGENCE,2023-03-03 22:05:00,2023-03-06 10:15:00,60.2,Profit Target,EURJPY,AUDJPY,BUY,SELL,29.292929292928704,72.67080745341588,0.050600000000002865,0.030599999999998316,144.404,144.737,91.957,91.681,1.0,1.65,33.3,27.6,60.9,231.73,316.9,548.63
DIVERGENCE,2023-03-07 05:50:00,2023-03-08 16:00:00,34.2,Profit Target,EURJPY,AUDJPY,SELL,BUY,74.18397626111965,28.227571115974996,0.0589999999999975,0.20740000000000408,145.404,144.433,91.253,90.42,1.0,0.28,97.1,-83.3,13.8,675.69,-162.31,513.38
DIVERGENCE,2023-03-09 06:50:00,2023-03-10 04:30:00,21.7,Profit Target,EURJPY,AUDJPY,BUY,SELL,24.444444444439057,72.09302325581515,0.032999999999998406,0.04059999999999775,144.347,144.838,90.399,89.904,1.0,0.81,49.1,49.5,98.6,341.68,279.01,620.69
DIVERGENCE,2023-03-13 18:30:00,2023-03-15 12:35:00,42.1,Profit Target,EURJPY,AUDJPY,SELL,BUY,90.35294117646858,29.20792079207891,0.09559999999999036,0.0771999999999963,143.048,142.166,88.86,88.799,1.0,1.24,88.2,-6.1,82.1,613.75,-52.64,561.11
DIVERGENCE,2023-03-29 09:10:00,2023-04-03 14:30:00,125.3,Profit Target,EURJPY,AUDJPY,SELL,BUY,73.44913151364912,27.710843373494143,0.07520000000000664,0.051200000000000044,142.955,144.424,88.12,89.649,1.0,1.47,-146.9,152.9,6.0,-1022.23,1564.1,541.87
DIVERGENCE,2023-04-03 14:30:00,2023-04-04 11:35:00,21.1,Profit Target,EURJPY,AUDJPY,BUY,SELL,26.299694189604196,73.62924281984327,0.11699999999999591,0.06580000000000438,144.424,145.114,89.649,89.62,1.0,1.78,69.0,2.9,71.9,480.16,35.92,516.08
DIVERGENCE,2023-04-12 07:35:00,2023-04-21 17:50:00,226.2,Profit Target,EURJPY,AUDJPY,BUY,SELL,29.41176470587955,78.2051282051282,0.03600000000000705,0.0325999999999965,146.146,147.461,89.271,89.803,1.0,1.1,131.5,-53.2,78.3,915.09,-407.22,507.87
DIVERGENCE,2023-05-10 15:45:00,2023-05-11 19:30:00,27.8,Profit Target,EURJPY,AUDJPY,BUY,SELL,27.685950413225626,78.95791583166458,0.16160000000000424,0.14420000000000072,147.913,146.853,91.598,89.997,1.0,1.12,-106.0,160.1,54.1,-737.64,1247.78,510.14
DIVERGENCE,2023-05-15 18:15:00,2023-05-16 19:30:00,25.2,Profit Target,EURJPY,AUDJPY,BUY,SELL,29.02097902097833,73.69942196531692,0.04920000000000755,0.03880000000000052,147.91,148.473,91.056,90.927,1.0,1.27,56.3,12.9,69.2,391.79,114.0,505.79
DIVERGENCE,2023-05-29 11:50:00,2023-06-23 05:50:00,594.0,Profit Target,EURJPY,AUDJPY,BUY,SELL,28.45070422535268,70.13888888889252,0.04540000000000077,0.036599999999995705,150.532,156.497,91.81,96.041,1.0,1.24,596.5,-423.1,173.4,4151.07,-3650.89,500.18
DIVERGENCE,2023-06-27 11:10:00,2023-07-06 05:55:00,210.8,Profit Target,EURJPY,AUDJPY,SELL,BUY,72.16494845360668,27.07423580786157,0.095799999999997,0.07220000000000085,157.181,156.458,96.185,96.19,1.0,1.33,72.3,0.5,72.8,503.13,4.63,507.76
DIVERGENCE,2023-07-06 15:25:00,2023-07-12 04:00:00,132.6,Profit Target,EURJPY,AUDJPY,SELL,BUY,70.60998151571144,28.846153846153854,0.10900000000000318,0.10720000000000027,156.731,153.817,95.863,93.716,1.0,1.02,291.4,-214.7,76.7,2027.82,-1524.01,503.81
DIVERGENCE,2023-07-17 06:35:00,2023-07-25 15:45:00,201.2,Profit Target,EURJPY,AUDJPY,SELL,BUY,72.06896551724171,14.534883720932584,0.03779999999999291,0.038800000000003367,155.611,156.029,94.411,95.586,1.0,0.97,-41.8,117.5,75.7,-290.88,793.16,502.28
DIVERGENCE,2023-07-27 13:00:00,2023-07-27 15:35:00,2.6,Profit Target,EURJPY,AUDJPY,SELL,BUY,76.44539614561123,27.156549520765807,0.08840000000000145,0.050199999999998114,156.1,155.682,95.193,95.374,1.0,1.76,41.8,18.1,59.9,290.88,221.69,512.57
