Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-01-13 00:00:00,2020-01-22 18:15:00,234.2,Profit Target,EURJPY,CADJPY,BUY,SELL,18.40277777778016,74.5856353591218,0.06580000000000438,0.028000000000000115,121.592,121.832,83.897,83.693,1.0,2.35,24.0,20.4,44.4,167.07,333.72,500.79
DIVERGENCE,2020-02-12 19:15:00,2020-02-26 18:40:00,335.4,Profit Target,EURJPY,CADJPY,BUY,SELL,19.819819819820665,70.20202020201755,0.04660000000000082,0.03619999999999664,119.691,120.274,83.075,82.963,1.0,1.29,58.3,11.2,69.5,405.82,100.57,506.39
DIVERGENCE,2020-03-05 14:15:00,2020-06-15 00:00:00,2433.8,Time Limit,EURJPY,CADJPY,SELL,BUY,82.35294117647004,20.52785923753747,0.07299999999999898,0.05560000000000116,119.627,120.561,79.591,78.832,1.0,1.31,-93.4,-75.9,-169.3,-650.14,-692.12,-1342.26
DIVERGENCE,2020-06-19 17:50:00,2020-06-22 17:45:00,71.9,Profit Target,EURJPY,CADJPY,BUY,SELL,22.687861271676013,77.7493606138102,0.12699999999999817,0.0811999999999955,119.593,120.324,78.89,78.898,1.0,1.56,73.1,-0.8,72.3,508.84,-8.69,500.15
DIVERGENCE,2020-07-02 19:30:00,2020-07-06 15:05:00,91.6,Profit Target,EURJPY,CADJPY,BUY,SELL,29.538461538461107,78.06122448979403,0.03979999999999961,0.03400000000000318,120.785,121.745,79.192,79.388,1.0,1.17,96.0,-19.6,76.4,668.25,-159.62,508.63
DIVERGENCE,2020-07-08 21:00:00,2020-07-13 17:40:00,116.7,Profit Target,EURJPY,CADJPY,BUY,SELL,29.28571428571547,72.1590909090933,0.04360000000000071,0.028200000000001068,121.538,121.846,79.378,79.07,1.0,1.55,30.8,30.8,61.6,214.4,332.31,546.71
DIVERGENCE,2020-07-13 17:40:00,2020-10-21 17:40:00,2400.0,Time Limit,EURJPY,CADJPY,SELL,BUY,72.5,26.89393939393905,0.04919999999999618,0.037399999999999524,121.846,123.989,79.07,79.657,1.0,1.32,-214.3,58.7,-155.6,-1491.74,539.38,-952.36
DIVERGENCE,2020-10-26 20:35:00,2020-12-01 22:55:00,866.3,Profit Target,EURJPY,CADJPY,BUY,SELL,26.701570680625466,75.66137566137499,0.025600000000000022,0.023599999999999,123.872,125.91,79.417,80.62,1.0,1.08,203.8,-120.3,83.5,1418.67,-904.39,514.28
DIVERGENCE,2020-12-01 22:55:00,2020-12-04 21:35:00,70.7,Profit Target,EURJPY,CADJPY,SELL,BUY,74.76635514018909,28.136882129277794,0.053200000000001066,0.03720000000000141,125.91,126.39,80.62,81.458,1.0,1.43,-48.0,83.8,35.8,-334.12,834.17,500.05
DIVERGENCE,2020-12-04 21:40:00,2020-12-18 08:25:00,322.8,Profit Target,EURJPY,CADJPY,BUY,SELL,25.694444444435604,72.81553398057918,0.02599999999999625,0.019999999999998862,126.395,126.626,81.454,81.079,1.0,1.3,23.1,37.5,60.6,160.8,339.35,500.15
DIVERGENCE,2020-12-18 19:40:00,2021-01-12 10:55:00,591.2,Profit Target,EURJPY,CADJPY,SELL,BUY,78.53403141361292,24.836601307191117,0.02980000000000018,0.03220000000000027,126.521,126.642,80.817,81.728,1.0,0.93,-12.1,91.1,79.0,-84.23,589.77,505.54
DIVERGENCE,2021-01-19 18:50:00,2021-01-28 10:20:00,207.5,Profit Target,EURJPY,CADJPY,BUY,SELL,18.64951768488926,71.15384615384794,0.03660000000000139,0.0421999999999997,125.924,126.288,81.642,81.221,1.0,0.87,36.4,42.1,78.5,253.38,254.96,508.34
DIVERGENCE,2021-02-01 19:15:00,2021-05-12 19:15:00,2400.0,Time Limit,EURJPY,CADJPY,BUY,SELL,29.900332225916458,70.58823529411586,0.04139999999999873,0.023799999999999953,126.668,132.256,81.847,90.436,1.0,1.74,558.8,-858.9,-300.1,3889.79,-10402.94,-6513.15
DIVERGENCE,2021-05-14 12:50:00,2021-05-19 04:35:00,111.8,Profit Target,EURJPY,CADJPY,BUY,SELL,11.999999999977831,73.09417040358336,0.02919999999999732,0.03359999999999559,132.373,133.302,90.091,90.331,1.0,0.87,92.9,-24.0,68.9,646.67,-145.34,501.33
DIVERGENCE,2021-05-21 14:15:00,2021-05-26 16:15:00,122.0,Profit Target,EURJPY,CADJPY,BUY,SELL,24.822695035457627,76.34854771784589,0.03939999999999486,0.043199999999998795,132.801,133.226,90.334,89.982,1.0,0.91,42.5,35.2,77.7,295.84,222.97,518.81
DIVERGENCE,2021-05-28 18:15:00,2021-06-17 10:10:00,471.9,Profit Target,EURJPY,CADJPY,SELL,BUY,72.84263959390918,26.03305785123736,0.04259999999999877,0.048599999999999,133.983,132.359,90.985,90.107,1.0,0.88,162.4,-87.8,74.6,1130.43,-537.83,592.6
DIVERGENCE,2021-07-07 23:50:00,2021-07-08 10:00:00,10.2,Profit Target,EURJPY,CADJPY,BUY,SELL,22.95081967212937,72.72727272727272,0.024400000000008505,0.01659999999999684,130.438,129.908,88.61,87.752,1.0,1.47,-53.0,85.8,32.8,-368.93,877.94,509.01
DIVERGENCE,2021-07-14 22:35:00,2021-08-10 15:10:00,640.6,Profit Target,EURJPY,CADJPY,SELL,BUY,70.73170731707656,27.72277227723295,0.018999999999994088,0.025200000000003796,130.191,129.471,87.902,87.901,1.0,0.75,72.0,-0.1,71.9,501.16,-0.52,500.64
