Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-01-14 13:40:00,2020-04-23 13:40:00,2400.0,Time Limit,EURJPY,CHFJPY,BUY,SELL,29.468599033818705,75.08532423208354,0.03100000000000307,0.04660000000000082,122.427,115.819,113.718,110.197,1.0,0.67,-660.8,352.1,-308.7,-4599.43,1641.95,-2957.48
DIVERGENCE,2020-05-18 20:10:00,2020-08-26 20:10:00,2400.0,Time Limit,EURJPY,CHFJPY,SELL,BUY,71.83908045976935,7.667210440454511,0.09120000000000061,0.12739999999999724,117.172,125.466,110.055,116.818,1.0,0.72,-829.4,676.3,-153.1,-5772.67,3389.17,-2383.5
DIVERGENCE,2020-09-07 22:00:00,2020-12-16 22:00:00,2400.0,Time Limit,EURJPY,CHFJPY,BUY,SELL,29.729729729738025,78.98550724637211,0.015000000000000568,0.027400000000002932,125.546,126.036,115.98,116.815,1.0,0.55,49.0,-83.5,-34.5,341.06,-319.65,21.41
DIVERGENCE,2021-02-23 20:05:00,2021-06-03 20:05:00,2400.0,Time Limit,EURJPY,CHFJPY,SELL,BUY,74.54545454545877,20.89041095890255,0.02920000000000016,0.03199999999999932,127.83,133.659,116.431,121.889,1.0,0.91,-582.9,545.8,-37.1,-4057.05,3457.03,-600.02
DIVERGENCE,2021-07-08 11:00:00,2021-10-18 00:00:00,2437.0,Time Limit,EURJPY,CHFJPY,BUY,SELL,20.000000000002302,71.75398633257326,0.09220000000000254,0.09800000000000182,129.699,132.314,119.321,123.42,1.0,0.94,261.5,-409.9,-148.4,1820.13,-2681.81,-861.68
DIVERGENCE,2021-10-28 14:20:00,2021-10-29 17:05:00,26.8,Profit Target,EURJPY,CHFJPY,SELL,BUY,76.31578947369837,25.07836990595426,0.03919999999999959,0.04379999999999882,131.866,132.054,123.641,124.714,1.0,0.89,-18.8,107.3,88.5,-130.85,664.69,533.84
DIVERGENCE,2021-11-09 22:45:00,2021-11-19 11:25:00,228.7,Profit Target,EURJPY,CHFJPY,SELL,BUY,73.80952380952918,26.3636363636366,0.019199999999995044,0.016800000000000637,130.879,129.122,123.896,123.166,1.0,1.14,175.7,-73.0,102.7,1222.91,-579.24,643.67
DIVERGENCE,2021-12-24 10:55:00,2023-01-02 07:00:00,8972.1,Time Limit,EURJPY,CHFJPY,SELL,BUY,73.09644670050271,28.627450980390037,0.04140000000000441,0.06519999999999584,129.66,140.11,124.571,141.655,1.0,0.63,-1045.0,1708.4,663.4,-7273.61,7491.52,217.91
DIVERGENCE,2023-01-11 13:35:00,2023-01-13 17:45:00,52.2,Profit Target,EURJPY,CHFJPY,SELL,BUY,79.19075144508614,28.781512605042167,0.05,0.07900000000000204,142.471,138.215,143.324,137.791,1.0,0.63,425.6,-553.3,-127.7,2962.28,-2426.28,536.0
DIVERGENCE,2023-01-30 17:55:00,2023-05-10 17:55:00,2400.0,Time Limit,EURJPY,CHFJPY,BUY,SELL,21.218487394954394,70.76411960133368,0.08299999999999272,0.06960000000000263,141.664,147.491,141.197,151.197,1.0,1.19,582.7,-1000.0,-417.3,4055.88,-8282.87,-4226.99
