Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-04 14:00:00,2021-01-13 14:05:00,216.1,Profit Target,EURJPY,GBPJPY,SELL,BUY,73.47670250896093,25.0,0.03940000000000339,0.09119999999999209,126.46,126.445,140.48,142.117,1.0,0.43,1.5,163.7,165.2,10.44,489.83,500.27
DIVERGENCE,2021-01-14 09:50:00,2021-04-26 00:00:00,2438.2,Time Limit,EURJPY,GBPJPY,BUY,SELL,29.962546816477627,73.33333333333285,0.0342000000000013,0.065199999999993,126.323,130.436,142.026,149.694,1.0,0.52,411.3,-766.8,-355.5,2862.07,-2774.51,87.56
DIVERGENCE,2021-04-26 10:10:00,2021-08-04 10:10:00,2400.0,Time Limit,EURJPY,GBPJPY,BUY,SELL,27.167630057807457,75.59395248379792,0.06139999999999759,0.08380000000000223,130.363,129.546,150.009,151.98,1.0,0.73,-81.7,-197.1,-278.8,-568.5,-1001.15,-1569.65
DIVERGENCE,2021-08-12 20:00:00,2021-11-17 05:40:00,2313.7,Profit Target,EURJPY,GBPJPY,SELL,BUY,77.17391304347709,29.885057471270372,0.0188000000000045,0.035400000000004185,129.571,129.631,152.518,154.045,1.0,0.53,-6.0,152.7,146.7,-41.75,563.12,521.37
DIVERGENCE,2021-12-03 12:35:00,2021-12-16 14:00:00,313.4,Profit Target,EURJPY,GBPJPY,SELL,BUY,80.22813688213692,20.944558521560367,0.06460000000000435,0.07240000000000464,128.134,128.98,150.355,152.257,1.0,0.89,-84.6,190.2,105.6,-588.61,1177.81,589.2
DIVERGENCE,2021-12-23 09:55:00,2022-02-03 19:10:00,1017.2,Profit Target,EURJPY,GBPJPY,BUY,SELL,26.737967914442905,73.22834645669278,0.03620000000000232,0.1004000000000076,129.424,131.391,152.749,156.196,1.0,0.36,196.7,-344.7,-148.0,1368.64,-863.4,505.24
DIVERGENCE,2022-04-05 15:25:00,2022-04-22 10:25:00,403.0,Profit Target,EURJPY,GBPJPY,BUY,SELL,24.056603773590524,71.4689265536702,0.04599999999999795,0.059199999999998455,134.727,138.533,161.453,165.402,1.0,0.78,380.6,-394.9,-14.3,2648.19,-2143.1,505.09
DIVERGENCE,2022-05-02 17:20:00,2022-07-28 13:45:00,2084.4,Profit Target,EURJPY,GBPJPY,SELL,BUY,75.27386541471179,28.351955307264376,0.12940000000000396,0.17180000000000178,137.067,137.359,162.834,164.307,1.0,0.75,-29.2,147.3,118.1,-203.13,768.55,565.42
DIVERGENCE,2022-10-06 17:55:00,2022-10-07 13:00:00,19.1,Profit Target,EURJPY,GBPJPY,SELL,BUY,71.07692307692389,25.842696629211176,0.10779999999999745,0.16020000000000892,142.568,142.022,162.206,162.478,1.0,0.67,54.6,27.2,81.8,379.84,126.78,506.62
DIVERGENCE,2022-10-31 20:05:00,2022-11-02 07:40:00,35.6,Profit Target,EURJPY,GBPJPY,SELL,BUY,71.83908045976978,19.006479481644206,0.06659999999999969,0.09180000000001201,146.974,145.799,170.399,169.793,1.0,0.73,117.5,-60.6,56.9,817.41,-307.76,509.65
