Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-01-07 16:15:00,2020-01-13 09:30:00,137.2,Profit Target,EURUSD,GBPUSD,BUY,SELL,29.432624113472997,78.36538461538251,0.0004360000000000586,0.0006079999999999864,1.11616,1.11267,1.31294,1.30049,1.0,0.72,-34.9,124.5,89.6,-349.0,896.4,547.4
DIVERGENCE,2020-01-17 11:20:00,2020-03-02 12:10:00,1080.8,Profit Target,EURUSD,GBPUSD,BUY,SELL,24.603174603176427,71.68284789644078,0.00026599999999996624,0.0009559999999999569,1.11317,1.10904,1.31097,1.27802,1.0,0.28,-41.3,329.5,288.2,-413.0,922.6,509.6
DIVERGENCE,2020-03-02 13:30:00,2020-03-05 10:25:00,68.9,Profit Target,EURUSD,GBPUSD,SELL,BUY,70.14388489208486,22.197309417037985,0.0005060000000000287,0.0008960000000000524,1.10998,1.11239,1.2761,1.29024,1.0,0.56,-24.1,141.4,117.3,-241.0,791.84,550.84
DIVERGENCE,2020-03-06 23:35:00,2020-03-09 00:55:00,49.3,Profit Target,EURUSD,GBPUSD,BUY,SELL,23.684210526314402,83.15789473684612,0.00035399999999996545,0.0003980000000000317,1.1299,1.13867,1.3048,1.3089,1.0,0.89,87.7,-41.0,46.7,877.0,-364.9,512.1
DIVERGENCE,2020-03-10 17:20:00,2020-03-11 11:45:00,18.4,Profit Target,EURUSD,GBPUSD,SELL,BUY,72.5190839694662,21.357850070722023,0.0011059999999999625,0.0009339999999999904,1.13814,1.13047,1.2983799999999999,1.29677,1.0,1.18,76.7,-16.1,60.6,767.0,-189.98,577.02
DIVERGENCE,2020-03-11 12:55:00,2020-03-31 17:10:00,484.2,Profit Target,EURUSD,GBPUSD,SELL,BUY,83.18318318318441,20.262390670549863,0.0006520000000000525,0.0010379999999999613,1.13268,1.09638,1.29269,1.24359,1.0,0.63,363.0,-491.0,-128.0,3630.0,-3093.3,536.7
DIVERGENCE,2020-04-10 16:30:00,2020-04-13 13:10:00,68.7,Profit Target,EURUSD,GBPUSD,SELL,BUY,94.00000000000445,29.493087557602422,0.00022999999999990807,0.00040000000000000034,1.09489,1.09114,1.24723,1.24946,1.0,0.57,37.5,22.3,59.8,375.0,127.11,502.11
DIVERGENCE,2020-04-14 12:35:00,2020-04-16 18:15:00,53.7,Profit Target,EURUSD,GBPUSD,SELL,BUY,77.89203084832471,29.325513196481708,0.0005479999999999485,0.0009799999999999364,1.09406,1.084,1.25354,1.24481,1.0,0.56,100.6,-87.3,13.3,1006.0,-488.88,517.12
DIVERGENCE,2020-04-21 12:30:00,2020-04-23 11:45:00,47.2,Profit Target,EURUSD,GBPUSD,SELL,BUY,70.45454545454567,29.353932584269472,0.0006180000000000074,0.0013020000000000475,1.08471,1.07914,1.23577,1.2346300000000001,1.0,0.47,55.7,-11.4,44.3,557.0,-53.58,503.42
DIVERGENCE,2020-04-23 12:10:00,2020-05-01 10:00:00,189.8,Profit Target,EURUSD,GBPUSD,BUY,SELL,29.6052631578943,71.10187110187289,0.00048000000000003595,0.0008059999999999956,1.07875,1.09666,1.23476,1.25618,1.0,0.6,179.1,-214.2,-35.1,1791.0,-1285.2,505.8
DIVERGENCE,2020-05-15 23:45:00,2020-08-24 00:05:00,2400.3,Time Limit,EURUSD,GBPUSD,SELL,BUY,70.22471910112633,29.615384615388948,0.00024600000000001286,0.00035400000000005425,1.08198,1.17951,1.21039,1.30835,1.0,0.69,-975.3,979.6,4.3,-9753.0,6759.24,-2993.76
DIVERGENCE,2020-09-10 14:30:00,2020-09-17 03:35:00,157.1,Profit Target,EURUSD,GBPUSD,SELL,BUY,72.22222222222595,21.42857142856826,0.00038800000000001057,0.0009559999999999569,1.18418,1.17705,1.2984,1.29332,1.0,0.41,71.3,-50.8,20.5,713.0,-208.28,504.72
DIVERGENCE,2020-09-17 11:05:00,2020-09-28 00:05:00,253.0,Profit Target,EURUSD,GBPUSD,SELL,BUY,80.82595870206097,29.725363489499543,0.0006420000000000314,0.0009560000000000013,1.17951,1.16248,1.29346,1.27579,1.0,0.67,170.3,-176.7,-6.4,1703.0,-1183.89,519.11
DIVERGENCE,2020-10-09 11:30:00,2020-10-13 16:35:00,101.1,Profit Target,EURUSD,GBPUSD,SELL,BUY,73.06034482758665,29.79942693409643,0.00040800000000005274,0.001162000000000063,1.17934,1.17525,1.29383,1.2965499999999999,1.0,0.35,40.9,27.2,68.1,409.0,95.2,504.2
DIVERGENCE,2020-10-14 12:30:00,2020-10-20 12:30:00,144.0,Profit Target,EURUSD,GBPUSD,BUY,SELL,27.762039660053063,73.13642756680686,0.0005100000000000104,0.0009400000000000297,1.17261,1.18066,1.29267,1.29671,1.0,0.54,80.5,-40.4,40.1,805.0,-218.16,586.84
DIVERGENCE,2020-10-26 11:25:00,2020-12-02 09:55:00,886.5,Profit Target,EURUSD,GBPUSD,BUY,SELL,29.639175257732447,73.68421052631612,0.0005460000000000687,0.0009179999999999744,1.18121,1.20688,1.3041800000000001,1.33778,1.0,0.59,256.7,-336.0,-79.3,2567.0,-1982.4,584.6
DIVERGENCE,2020-12-08 01:50:00,2020-12-09 13:50:00,36.0,Profit Target,EURUSD,GBPUSD,SELL,BUY,72.35772357723665,24.382716049389018,0.0001260000000000261,0.00024600000000001286,1.2113,1.21095,1.3354300000000001,1.34497,1.0,0.51,3.5,95.4,98.9,35.0,486.54,521.54
DIVERGENCE,2020-12-11 15:10:00,2020-12-14 00:00:00,56.8,Profit Target,EURUSD,GBPUSD,SELL,BUY,77.1144278606935,17.746913580244353,0.0004359999999999697,0.0011099999999999888,1.21269,1.21336,1.31396,1.33452,1.0,0.39,-6.7,205.6,198.9,-67.0,801.84,734.84
DIVERGENCE,2020-12-18 23:20:00,2020-12-23 15:10:00,111.8,Profit Target,EURUSD,GBPUSD,SELL,BUY,79.2134831460672,23.118279569890447,0.00018799999999998817,0.00040599999999990644,1.22504,1.21668,1.34866,1.34149,1.0,0.46,83.6,-71.7,11.9,836.0,-329.82,506.18
DIVERGENCE,2020-12-30 15:00:00,2020-12-31 11:05:00,20.1,Profit Target,EURUSD,GBPUSD,SELL,BUY,70.65868263473021,27.178423236513893,0.0005719999999999725,0.0006940000000000612,1.22858,1.22901,1.35923,1.36628,1.0,0.82,-4.3,70.5,66.2,-43.0,578.1,535.1
DIVERGENCE,2020-12-31 15:40:00,2020-12-31 17:15:00,1.6,Profit Target,EURUSD,GBPUSD,SELL,BUY,71.20879120878978,28.47457627118635,0.00041399999999991444,0.0006940000000000612,1.22848,1.22567,1.3633199999999999,1.36725,1.0,0.6,28.1,39.3,67.4,281.0,235.8,516.8
DIVERGENCE,2021-01-20 11:05:00,2021-01-22 09:40:00,46.6,Profit Target,EURUSD,GBPUSD,BUY,SELL,20.34632034631973,70.53435114503861,0.0006639999999999535,0.0008280000000000509,1.21282,1.21559,1.36962,1.36665,1.0,0.8,27.7,29.7,57.4,277.0,237.6,514.6
