Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-03-30 02:45:00,2020-03-30 03:35:00,0.8,Profit Target,GBPAUD,GBPNZD,BUY,SELL,28.596491228070335,77.4553571428576,0.003920000000000101,0.003355999999999959,2.01798,2.02032,2.0645,2.05862,1.0,1.17,23.4,58.8,82.2,153.69,418.45,572.14
DIVERGENCE,2020-03-30 03:50:00,2020-03-30 04:10:00,0.3,Profit Target,GBPAUD,GBPNZD,SELL,BUY,70.88532382650052,29.29340196537197,0.004422000000000104,0.0030920000000000058,2.02408,2.02019,2.05557,2.05876,1.0,1.43,38.9,31.9,70.8,255.45,277.51,532.96
DIVERGENCE,2020-04-01 17:35:00,2020-04-01 17:45:00,0.2,Profit Target,GBPAUD,GBPNZD,SELL,BUY,73.64928909952363,27.552786431289874,0.0022400000000000198,0.0020780000000000243,2.04859,2.02487,2.088,2.08607,1.0,1.08,237.2,-19.3,217.9,1557.64,-126.8,1430.84
DIVERGENCE,2020-04-02 08:20:00,2020-04-02 09:05:00,0.8,Profit Target,GBPAUD,GBPNZD,SELL,BUY,71.3420787083729,18.90941072999273,0.0019099999999999894,0.002768000000000015,2.0397,2.03076,2.08281,2.0835,1.0,0.69,89.4,6.9,96.3,587.07,28.96,616.03
DIVERGENCE,2020-04-02 21:40:00,2020-04-02 22:05:00,0.4,Profit Target,GBPAUD,GBPNZD,SELL,BUY,77.93240556660339,27.99339388934702,0.0018500000000001293,0.0010580000000000034,2.05347,2.04898,2.09447,2.09667,1.0,1.75,44.9,22.0,66.9,294.85,234.21,529.06
DIVERGENCE,2020-04-03 21:50:00,2020-04-06 00:05:00,50.2,Profit Target,GBPAUD,GBPNZD,SELL,BUY,70.1604278074872,28.7162162162129,0.0018000000000000683,0.0013300000000000978,2.04551,2.03326,2.09209,2.09057,1.0,1.35,122.5,-15.2,107.3,804.43,-124.83,679.6
DIVERGENCE,2020-04-06 03:50:00,2020-04-06 05:50:00,2.0,Profit Target,GBPAUD,GBPNZD,BUY,SELL,20.78587699316492,70.27417027417273,0.0042219999999998595,0.0013500000000000512,2.02754,2.03388,2.08278,2.08168,1.0,3.13,63.4,11.0,74.4,416.4,209.42,625.82
DIVERGENCE,2020-04-06 08:55:00,2020-04-06 11:20:00,2.4,Profit Target,GBPAUD,GBPNZD,BUY,SELL,22.979214780595854,72.18225419664154,0.0021359999999998715,0.0014439999999999564,2.02898,2.0311,2.07964,2.07503,1.0,1.48,21.2,46.1,67.3,139.24,415.0,554.24
DIVERGENCE,2020-04-07 07:15:00,2020-04-07 07:55:00,0.7,Profit Target,GBPAUD,GBPNZD,SELL,BUY,70.32786885245753,27.028639618137788,0.0016059999999999519,0.0018040000000000057,2.00662,1.9973,2.05272,2.05202,1.0,0.89,93.2,-7.0,86.2,612.03,-37.9,574.13
DIVERGENCE,2020-04-07 14:05:00,2020-04-07 15:05:00,1.0,Profit Target,GBPAUD,GBPNZD,BUY,SELL,26.535087719298147,72.2772277227753,0.0024179999999999423,0.002242000000000033,1.98858,1.99553,2.0605,2.05887,1.0,1.08,69.5,16.3,85.8,456.46,107.08,563.54
DIVERGENCE,2020-04-08 06:20:00,2020-04-08 10:35:00,4.2,Profit Target,GBPAUD,GBPNZD,SELL,BUY,75.065274151435,18.181818181824397,0.0016360000000000597,0.0010980000000000878,2.00839,2.00327,2.06599,2.06837,1.0,1.49,51.2,23.8,75.0,336.22,215.73,551.95
DIVERGENCE,2020-04-08 13:40:00,2020-04-08 16:55:00,3.2,Profit Target,GBPAUD,GBPNZD,BUY,SELL,26.484448633365517,70.96336499321357,0.0017419999999998658,0.0018420000000000769,1.99908,2.00035,2.0688,2.0608,1.0,0.95,12.7,80.0,92.7,83.41,462.27,545.68
DIVERGENCE,2020-04-08 18:40:00,2020-04-08 19:35:00,0.9,Profit Target,GBPAUD,GBPNZD,BUY,SELL,26.182033096926588,71.03064066851849,0.0032780000000001584,0.001022000000000034,1.99034,1.99269,2.06228,2.06038,1.0,3.21,23.5,19.0,42.5,154.34,370.97,525.31
DIVERGENCE,2020-04-10 19:30:00,2020-07-20 00:00:00,2404.5,Time Limit,GBPAUD,GBPNZD,BUY,SELL,25.43209876542946,70.16706443913871,0.0008599999999999497,0.0012980000000000658,1.9646599999999999,1.79535,2.05387,1.9169100000000001,1.0,0.66,-1693.1,1369.6,-323.5,-11120.11,5498.28,-5621.83
DIVERGENCE,2020-07-20 17:45:00,2020-10-27 15:35:00,2373.8,Profit Target,GBPAUD,GBPNZD,BUY,SELL,28.48258706467722,82.81938325991179,0.0007660000000000444,0.0006759999999999434,1.80263,1.8283,1.9264000000000001,1.94361,1.0,1.13,256.7,-172.1,84.6,1686.03,-1182.92,503.11
DIVERGENCE,2020-10-28 05:15:00,2020-10-28 16:45:00,11.5,Profit Target,GBPAUD,GBPNZD,BUY,SELL,28.955223880599505,70.68493150685138,0.00048400000000001773,0.0005380000000000162,1.82681,1.84238,1.94612,1.9555500000000001,1.0,0.9,155.7,-94.3,61.4,1022.65,-516.24,506.41
DIVERGENCE,2020-11-25 04:35:00,2020-12-09 19:15:00,350.7,Profit Target,GBPAUD,GBPNZD,SELL,BUY,74.52574525745398,19.22005571030634,0.000833999999999957,0.0007659999999999556,1.81572,1.7961399999999998,1.91308,1.90147,1.0,1.09,195.8,-116.1,79.7,1285.84,-769.86,515.98
DIVERGENCE,2021-02-08 00:00:00,2021-05-19 00:00:00,2400.0,Time Limit,GBPAUD,GBPNZD,BUY,SELL,12.000000000005684,73.12138728324199,0.0008119999999999461,0.0007640000000000314,1.78756,1.8197,1.90781,1.9585,1.0,1.06,321.4,-506.9,-185.5,2110.99,-3268.27,-1157.28
