Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-13 13:25:00,2021-01-27 09:10:00,331.8,Profit Target,GBPJPY,CADJPY,BUY,SELL,28.24858757062455,70.62146892655431,0.05539999999999736,0.023199999999999932,142.01,142.503,81.625,81.517,1.0,2.39,49.3,10.8,60.1,343.08,179.62,522.7
DIVERGENCE,2021-01-29 22:40:00,2021-02-12 16:00:00,329.3,Profit Target,GBPJPY,CADJPY,BUY,SELL,29.47845804988542,76.51821862348336,0.05219999999999345,0.02920000000000016,143.422,144.97,81.915,82.377,1.0,1.79,154.8,-46.2,108.6,1077.26,-575.49,501.77
DIVERGENCE,2021-03-01 14:40:00,2021-06-09 14:40:00,2400.0,Time Limit,GBPJPY,CADJPY,BUY,SELL,27.351916376305653,71.71052631578547,0.0646000000000015,0.03159999999999741,148.74,155.014,84.106,90.518,1.0,2.04,627.4,-641.2,-13.8,4366.1,-9102.5,-4736.4
DIVERGENCE,2021-06-09 21:15:00,2021-06-16 09:45:00,156.5,Profit Target,GBPJPY,CADJPY,BUY,SELL,25.892857142855107,72.12121212121546,0.01640000000000441,0.02599999999999909,154.715,155.369,90.546,90.418,1.0,0.63,65.4,12.8,78.2,455.12,56.12,511.24
DIVERGENCE,2021-06-17 21:15:00,2021-06-24 14:00:00,160.8,Profit Target,GBPJPY,CADJPY,SELL,BUY,79.487179487177,28.78048780487707,0.03519999999999186,0.018999999999999774,153.509,154.195,89.253,90.132,1.0,1.85,-68.6,87.9,19.3,-477.38,1131.64,654.26
DIVERGENCE,2021-06-24 21:40:00,2021-06-25 15:20:00,17.7,Profit Target,GBPJPY,CADJPY,SELL,BUY,72.41379310344189,25.185185185180814,0.02459999999999809,0.019400000000004525,154.457,153.736,89.978,89.998,1.0,1.27,72.1,2.0,74.1,501.73,17.68,519.41
DIVERGENCE,2021-07-14 14:50:00,2021-07-15 18:55:00,28.1,Profit Target,GBPJPY,CADJPY,BUY,SELL,21.100917431191064,71.42857142857343,0.053600000000000134,0.037000000000003294,153.038,152.402,88.485,87.47,1.0,1.45,-63.6,101.5,37.9,-442.59,1024.17,581.58
DIVERGENCE,2021-07-27 18:40:00,2021-07-30 22:30:00,75.8,Profit Target,GBPJPY,CADJPY,SELL,BUY,71.1195928753202,21.31147540983592,0.08780000000000428,0.08620000000000232,152.288,152.477,87.11,88.005,1.0,1.02,-18.9,89.5,70.6,-131.52,635.29,503.77
DIVERGENCE,2021-08-09 21:20:00,2021-08-12 19:55:00,70.6,Profit Target,GBPJPY,CADJPY,SELL,BUY,73.63636363637562,25.46583850931249,0.02039999999999509,0.019799999999995065,152.771,152.534,87.682,88.17,1.0,1.03,23.7,48.8,72.5,164.92,349.79,514.71
DIVERGENCE,2021-08-13 14:15:00,2021-09-28 13:50:00,1103.6,Profit Target,GBPJPY,CADJPY,SELL,BUY,73.07692307692476,29.452054794521885,0.04960000000000377,0.027199999999999135,152.234,151.617,88.009,88.088,1.0,1.82,61.7,7.9,69.6,429.38,100.06,529.44
DIVERGENCE,2021-10-13 23:10:00,2021-10-15 05:30:00,30.3,Profit Target,GBPJPY,CADJPY,SELL,BUY,70.78651685393402,28.877005347595045,0.04839999999999804,0.030800000000004955,154.78,155.788,91.054,92.156,1.0,1.57,-100.8,110.2,9.4,-701.48,1204.09,502.61
DIVERGENCE,2021-10-18 20:15:00,2021-10-27 17:30:00,213.2,Profit Target,GBPJPY,CADJPY,SELL,BUY,72.01166180757824,25.581395348837205,0.038800000000003367,0.01979999999999791,156.945,156.119,92.341,92.3,1.0,1.96,82.6,-4.1,78.5,574.82,-55.93,518.89
DIVERGENCE,2021-11-08 15:10:00,2021-11-10 15:45:00,48.6,Profit Target,GBPJPY,CADJPY,SELL,BUY,73.55072463768323,28.852459016395443,0.0830000000000041,0.032799999999997456,153.586,153.05,91.105,91.191,1.0,2.53,53.6,8.6,62.2,373.01,151.42,524.43
DIVERGENCE,2021-12-13 19:55:00,2021-12-14 14:30:00,18.6,Profit Target,GBPJPY,CADJPY,BUY,SELL,26.8398268398293,72.15189873417613,0.04659999999999513,0.0311999999999955,149.916,150.485,88.719,88.612,1.0,1.49,56.9,10.7,67.6,395.98,110.95,506.93
DIVERGENCE,2021-12-14 23:55:00,2022-03-07 03:30:00,1971.6,Profit Target,GBPJPY,CADJPY,SELL,BUY,72.28260869566535,25.60975609756173,0.026600000000001955,0.026399999999998158,150.449,151.644,88.378,90.276,1.0,1.01,-119.5,189.8,70.3,-831.58,1334.04,502.46
DIVERGENCE,2022-03-30 20:00:00,2022-04-07 03:05:00,175.1,Profit Target,GBPJPY,CADJPY,BUY,SELL,29.682539682540437,81.2499999999993,0.0622000000000071,0.05240000000000009,160.149,161.719,97.725,98.429,1.0,1.19,157.0,-70.4,86.6,1092.58,-582.99,509.59
DIVERGENCE,2022-04-14 18:15:00,2022-04-19 00:50:00,102.6,Profit Target,GBPJPY,CADJPY,SELL,BUY,75.28089887640718,24.074074074073863,0.0990000000000066,0.05959999999999184,164.41,165.212,99.782,100.702,1.0,1.66,-80.2,92.0,11.8,-558.1,1062.8,504.7
DIVERGENCE,2022-05-03 06:55:00,2022-05-04 04:10:00,21.2,Profit Target,GBPJPY,CADJPY,SELL,BUY,73.37883959044325,26.775956284151988,0.032400000000001226,0.023799999999999953,162.886,162.563,101.141,101.441,1.0,1.36,32.3,30.0,62.3,224.77,283.93,508.7
DIVERGENCE,2022-05-04 05:05:00,2022-05-04 22:50:00,17.8,Profit Target,GBPJPY,CADJPY,BUY,SELL,28.959276018095878,72.17391304348213,0.050399999999996226,0.031200000000004023,162.545,163.034,101.484,101.339,1.0,1.62,48.9,14.5,63.4,340.3,163.46,503.76
DIVERGENCE,2022-05-05 06:10:00,2022-05-26 03:40:00,501.5,Profit Target,GBPJPY,CADJPY,BUY,SELL,25.999999999996746,70.85201793721345,0.05840000000000032,0.04019999999999868,162.668,160.617,101.374,99.459,1.0,1.45,-205.1,191.5,-13.6,-1427.31,1932.28,504.97
DIVERGENCE,2022-06-15 20:45:00,2022-06-16 11:15:00,14.5,Profit Target,GBPJPY,CADJPY,SELL,BUY,70.07874015748024,25.55555555555661,0.07579999999999813,0.06539999999999964,162.481,161.661,103.508,103.484,1.0,1.16,82.0,-2.4,79.6,570.62,-19.37,551.25
DIVERGENCE,2022-06-20 23:55:00,2022-09-28 23:55:00,2400.0,Time Limit,GBPJPY,CADJPY,BUY,SELL,19.122257053292742,81.9999999999983,0.054200000000003,0.030799999999999272,165.363,156.93,104.067,105.895,1.0,1.76,-843.3,-182.8,-1026.1,-5868.6,-2238.84,-8107.44
DIVERGENCE,2022-09-29 01:25:00,2022-09-29 10:10:00,8.8,Profit Target,GBPJPY,CADJPY,BUY,SELL,29.847494553374304,71.09826589595333,0.10680000000000973,0.037000000000000456,156.588,156.325,105.865,105.484,1.0,2.89,-26.3,38.1,11.8,-183.02,766.23,583.21
DIVERGENCE,2022-09-30 20:25:00,2022-10-03 04:35:00,56.2,Profit Target,GBPJPY,CADJPY,SELL,BUY,72.99618320610742,18.156424581004757,0.1311999999999955,0.04519999999999982,161.244,161.346,104.913,105.207,1.0,2.9,-10.2,29.4,19.2,-70.98,593.33,522.35
DIVERGENCE,2022-10-04 10:40:00,2022-10-05 01:25:00,14.8,Profit Target,GBPJPY,CADJPY,SELL,BUY,75.39936102236568,29.599999999999227,0.25159999999999627,0.06799999999999784,165.06,165.269,106.44,106.697,1.0,3.7,-20.9,25.7,4.8,-145.44,661.74,516.3
DIVERGENCE,2022-10-07 17:20:00,2022-10-11 03:10:00,81.8,Profit Target,GBPJPY,CADJPY,BUY,SELL,29.102447869447303,70.12987012987075,0.20879999999999085,0.10339999999999919,161.419,161.245,106.086,105.642,1.0,2.02,-17.4,44.4,27.0,-121.09,624.12,503.03
DIVERGENCE,2022-10-11 03:20:00,2022-10-11 22:00:00,18.7,Profit Target,GBPJPY,CADJPY,SELL,BUY,70.06920415224897,25.80645161290569,0.1211999999999989,0.058600000000004114,161.435,160.518,105.624,105.606,1.0,2.07,91.7,-1.8,89.9,638.12,-25.93,612.19
DIVERGENCE,2022-10-24 19:05:00,2022-10-25 12:05:00,17.0,Profit Target,GBPJPY,CADJPY,BUY,SELL,29.57920792079328,71.76470588235334,0.12139999999999987,0.053200000000001066,167.974,168.604,108.525,108.465,1.0,2.28,63.0,6.0,69.0,438.42,95.2,533.62
DIVERGENCE,2022-10-25 12:05:00,2022-11-03 17:05:00,221.0,Profit Target,GBPJPY,CADJPY,SELL,BUY,72.67759562841451,29.893238434166236,0.12620000000000572,0.04579999999999984,168.604,165.821,108.465,107.74,1.0,2.76,278.3,-72.5,205.8,1936.73,-1392.59,544.14
DIVERGENCE,2022-11-04 08:05:00,2022-11-07 12:00:00,75.9,Profit Target,GBPJPY,CADJPY,BUY,SELL,29.2609351432871,77.11442786069577,0.08799999999999955,0.029599999999996386,165.828,167.936,108.245,108.704,1.0,2.97,210.8,-45.9,164.9,1467.06,-948.69,518.37
DIVERGENCE,2022-11-07 20:20:00,2022-11-08 10:20:00,14.0,Profit Target,GBPJPY,CADJPY,SELL,BUY,77.06708268330836,26.66666666666609,0.05200000000000386,0.04159999999999968,168.792,168.129,108.537,108.615,1.0,1.25,66.3,7.8,74.1,461.39,67.85,529.24
DIVERGENCE,2022-11-08 16:35:00,2022-11-09 11:40:00,19.1,Profit Target,GBPJPY,CADJPY,SELL,BUY,72.30273752013176,25.680933852140555,0.08739999999999667,0.05499999999999829,167.645,167.128,108.318,108.459,1.0,1.59,51.7,14.1,65.8,359.79,156.02,515.81
DIVERGENCE,2022-11-09 11:40:00,2022-11-10 03:55:00,16.2,Profit Target,GBPJPY,CADJPY,BUY,SELL,18.545163868903316,74.28571428571757,0.18720000000001277,0.05280000000000484,167.128,166.515,108.459,108.08,1.0,3.55,-61.3,37.9,-23.4,-426.61,936.32,509.71
