Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-04 21:05:00,2021-01-13 14:15:00,209.2,Profit Target,GBPJPY,NZDJPY,BUY,SELL,26.101694915254726,75.2631578947381,0.05900000000000318,0.02400000000000091,139.828,142.095,74.01,74.631,1.0,2.46,226.7,-62.1,164.6,1577.77,-1063.19,514.58
DIVERGENCE,2021-01-14 09:50:00,2021-02-04 01:35:00,495.8,Profit Target,GBPJPY,NZDJPY,SELL,BUY,73.33333333333285,24.110671936760312,0.065199999999993,0.03160000000000309,142.026,143.301,74.813,75.781,1.0,2.06,-127.5,96.8,-30.7,-887.35,1387.82,500.47
DIVERGENCE,2021-02-10 11:35:00,2021-02-11 15:25:00,27.8,Profit Target,GBPJPY,NZDJPY,SELL,BUY,71.14914425427644,24.363636363634598,0.07099999999999795,0.03559999999999945,144.811,144.835,75.469,75.867,1.0,1.99,-2.4,39.8,37.4,-16.7,551.22,534.52
DIVERGENCE,2021-02-24 18:05:00,2021-02-26 13:10:00,43.1,Profit Target,GBPJPY,NZDJPY,BUY,SELL,29.704510108866856,70.94972067038995,0.12040000000000077,0.04299999999999784,149.416,148.16,78.287,77.559,1.0,2.8,-125.6,72.8,-52.8,-874.14,1418.65,544.51
DIVERGENCE,2021-03-01 14:55:00,2021-03-04 19:50:00,76.9,Profit Target,GBPJPY,NZDJPY,BUY,SELL,22.70058708414608,71.2550607287433,0.06780000000000541,0.04119999999999777,148.682,150.194,77.26,77.726,1.0,1.65,151.2,-46.6,104.6,1052.31,-535.13,517.18
DIVERGENCE,2021-03-17 19:45:00,2021-03-18 20:40:00,24.9,Profit Target,GBPJPY,NZDJPY,BUY,SELL,29.76445396145496,72.83950617283604,0.057999999999992724,0.020800000000002684,151.43,151.759,78.247,78.107,1.0,2.79,32.9,14.0,46.9,228.97,271.84,500.81
DIVERGENCE,2021-03-30 23:55:00,2021-04-07 09:10:00,177.2,Profit Target,GBPJPY,NZDJPY,SELL,BUY,74.48275862068722,29.838709677415707,0.04640000000000555,0.03599999999999852,151.613,151.41,76.975,77.388,1.0,1.29,20.3,41.3,61.6,141.28,370.79,512.07
DIVERGENCE,2021-04-09 16:00:00,2021-04-14 11:35:00,115.6,Profit Target,GBPJPY,NZDJPY,SELL,BUY,73.73540856031211,26.548672566371124,0.09580000000000269,0.05059999999999718,150.767,150.428,77.294,77.517,1.0,1.89,33.9,22.3,56.2,235.93,293.33,529.26
DIVERGENCE,2021-04-16 15:35:00,2021-04-26 19:20:00,243.8,Profit Target,GBPJPY,NZDJPY,SELL,BUY,82.47863247863344,29.4685990338167,0.06419999999999959,0.03220000000000027,150.221,150.136,77.907,78.234,1.0,1.99,8.5,32.7,41.2,59.16,452.89,512.05
DIVERGENCE,2021-04-27 14:55:00,2021-05-03 11:55:00,141.0,Profit Target,GBPJPY,NZDJPY,BUY,SELL,28.66972477064452,70.96774193548298,0.07339999999999805,0.029400000000003958,150.51,151.908,78.231,78.497,1.0,2.5,139.8,-26.6,113.2,972.97,-462.81,510.16
DIVERGENCE,2021-05-03 11:55:00,2021-05-06 17:05:00,77.2,Profit Target,GBPJPY,NZDJPY,SELL,BUY,71.04677060133895,29.06574394463763,0.04919999999999618,0.03060000000000116,151.908,151.332,78.497,78.587,1.0,1.61,57.6,9.0,66.6,400.89,100.85,501.74
