Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2020-01-09 21:35:00,2020-04-20 00:05:00,2426.5,Time Limit,NZDJPY,CADJPY,BUY,SELL,29.565217391307243,76.36363636363433,0.012399999999999523,0.022599999999997067,72.334,64.863,83.704,76.651,1.0,0.55,-747.1,705.3,-41.8,-5198.81,2699.31,-2499.5
DIVERGENCE,2020-04-28 22:15:00,2020-04-30 17:55:00,43.7,Profit Target,NZDJPY,CADJPY,BUY,SELL,22.222222222222214,71.92118226600613,0.019599999999999795,0.029400000000003958,64.765,65.923,76.41,76.961,1.0,0.67,115.8,-55.1,60.7,805.81,-256.89,548.92
DIVERGENCE,2020-07-02 15:00:00,2020-08-05 14:10:00,815.2,Profit Target,NZDJPY,CADJPY,SELL,BUY,73.93162393162191,29.65517241379142,0.027599999999998202,0.02400000000000091,70.125,70.317,79.008,79.804,1.0,1.15,-19.2,79.6,60.4,-133.6,636.99,503.39
DIVERGENCE,2020-08-06 22:50:00,2020-08-10 19:15:00,92.4,Profit Target,NZDJPY,CADJPY,SELL,BUY,70.37037037036865,27.981651376147738,0.03959999999999866,0.02740000000000009,70.57,69.736,79.366,79.301,1.0,1.45,83.4,-6.5,76.9,580.34,-65.59,514.75
DIVERGENCE,2020-08-11 18:45:00,2020-09-14 17:15:00,814.5,Profit Target,NZDJPY,CADJPY,BUY,SELL,26.224783861670176,74.56896551724539,0.045999999999995114,0.035200000000000384,70.006,70.848,80.105,80.191,1.0,1.31,84.2,-8.6,75.6,585.91,-78.39,507.52
DIVERGENCE,2020-09-16 19:45:00,2020-11-11 04:05:00,1328.3,Profit Target,NZDJPY,CADJPY,BUY,SELL,28.275862068971136,76.68393782383305,0.016399999999998728,0.023200000000002774,70.778,72.186,79.758,80.728,1.0,0.71,140.8,-97.0,43.8,979.76,-479.23,500.53
DIVERGENCE,2020-11-25 05:10:00,2020-12-04 10:40:00,221.5,Profit Target,NZDJPY,CADJPY,SELL,BUY,79.22077922077794,19.607843137253,0.03340000000000316,0.01559999999999775,73.035,73.302,80.394,80.855,1.0,2.14,-26.7,46.1,19.4,-185.78,686.48,500.7
DIVERGENCE,2020-12-07 15:35:00,2021-03-17 15:35:00,2400.0,Time Limit,NZDJPY,CADJPY,SELL,BUY,81.87919463087191,28.47222222222173,0.028599999999997294,0.03239999999999839,73.253,78.243,81.282,87.506,1.0,0.88,-499.0,622.4,123.4,-3472.27,3811.28,339.01
DIVERGENCE,2021-03-31 22:00:00,2021-04-06 21:35:00,143.6,Profit Target,NZDJPY,CADJPY,BUY,SELL,28.455284552841675,82.3129251700633,0.031400000000002135,0.03600000000000421,77.344,77.422,88.102,87.362,1.0,0.87,7.8,74.0,81.8,54.28,447.99,502.27
DIVERGENCE,2021-04-06 22:00:00,2021-05-04 13:05:00,663.1,Profit Target,NZDJPY,CADJPY,SELL,BUY,71.12299465241037,29.924242424244213,0.030999999999997384,0.03740000000000236,77.441,77.989,87.299,88.833,1.0,0.83,-54.8,153.4,98.6,-381.32,885.98,504.66
DIVERGENCE,2021-05-06 11:20:00,2021-07-08 11:35:00,1512.2,Profit Target,NZDJPY,CADJPY,BUY,SELL,22.975929978118643,82.63888888889204,0.05500000000000114,0.03560000000000514,78.681,76.423,89.288,87.355,1.0,1.54,-225.8,193.3,-32.5,-1571.24,2071.41,500.17
DIVERGENCE,2021-07-16 04:55:00,2021-07-19 09:45:00,76.8,Profit Target,NZDJPY,CADJPY,BUY,SELL,29.80295566502545,75.30487804878304,0.05020000000000095,0.03160000000000309,76.89,76.916,87.379,86.911,1.0,1.59,2.6,46.8,49.4,18.09,517.79,535.88
DIVERGENCE,2021-07-23 02:15:00,2021-07-30 15:45:00,181.5,Profit Target,NZDJPY,CADJPY,SELL,BUY,71.42857142858705,26.25000000000999,0.018799999999998818,0.016399999999998728,76.857,76.765,87.659,88.228,1.0,1.15,9.2,56.9,66.1,64.02,455.33,519.35
DIVERGENCE,2021-08-04 02:40:00,2021-08-04 18:05:00,15.4,Profit Target,NZDJPY,CADJPY,SELL,BUY,73.52342158859484,27.58620689655173,0.02939999999999827,0.012600000000000477,76.8,77.144,86.948,87.408,1.0,2.33,-34.4,46.0,11.6,-239.37,745.82,506.45
DIVERGENCE,2021-08-06 02:05:00,2021-08-16 17:50:00,255.8,Profit Target,NZDJPY,CADJPY,BUY,SELL,24.99999999999065,74.62686567163989,0.0146000000000015,0.010399999999998499,77.389,76.681,87.835,86.796,1.0,1.4,-70.8,103.9,33.1,-492.67,1012.18,519.51
DIVERGENCE,2021-08-17 07:50:00,2021-08-17 10:10:00,2.3,Profit Target,NZDJPY,CADJPY,BUY,SELL,29.65116279069808,77.53623188405453,0.05639999999999645,0.01820000000000164,75.946,75.393,86.862,86.427,1.0,3.1,-55.3,43.5,-11.8,-384.81,938.35,553.54
DIVERGENCE,2021-08-25 23:30:00,2021-08-26 21:05:00,21.6,Profit Target,NZDJPY,CADJPY,BUY,SELL,27.64976958525466,72.38805970149096,0.028600000000000136,0.016600000000002522,76.721,76.426,87.373,86.774,1.0,1.72,-29.5,59.9,30.4,-205.28,716.92,511.64
DIVERGENCE,2021-09-03 19:35:00,2021-09-24 20:40:00,505.1,Profit Target,NZDJPY,CADJPY,SELL,BUY,70.73170731707232,26.966292134830738,0.020800000000002684,0.02179999999999893,78.402,77.604,87.544,87.495,1.0,0.95,79.8,-4.9,74.9,555.27,-32.39,522.88
DIVERGENCE,2021-09-28 01:55:00,2021-11-08 15:25:00,997.5,Profit Target,NZDJPY,CADJPY,BUY,SELL,28.57142857141538,71.02803738317013,0.012399999999999523,0.014199999999999591,77.803,81.263,87.902,91.052,1.0,0.87,346.0,-315.0,31.0,2407.64,-1906.95,500.69
DIVERGENCE,2021-11-24 16:15:00,2022-03-04 16:15:00,2400.0,Time Limit,NZDJPY,CADJPY,BUY,SELL,23.46938775510388,70.70312500000054,0.050400000000004753,0.07760000000000104,79.269,78.722,90.79,90.309,1.0,0.65,-54.7,48.1,-6.6,-380.64,217.56,-163.08
DIVERGENCE,2022-03-10 08:25:00,2022-03-11 15:30:00,31.1,Profit Target,NZDJPY,CADJPY,SELL,BUY,73.74999999999423,22.388059701487478,0.028200000000001068,0.024799999999996204,79.36,80.042,90.531,91.825,1.0,1.14,-68.2,129.4,61.2,-474.57,1026.53,551.96
DIVERGENCE,2022-03-16 02:55:00,2022-06-24 02:55:00,2400.0,Time Limit,NZDJPY,CADJPY,BUY,SELL,26.737967914439082,72.05240174672613,0.04479999999999791,0.0337999999999937,79.829,84.719,92.704,103.78,1.0,1.33,489.0,-1107.6,-618.6,3402.88,-10250.85,-6847.97
DIVERGENCE,2022-06-28 20:35:00,2022-08-01 18:10:00,813.6,Profit Target,NZDJPY,CADJPY,BUY,SELL,28.717948717951472,71.24352331606076,0.03699999999999761,0.053599999999997296,85.12,83.669,105.939,102.793,1.0,0.69,-145.1,314.6,169.5,-1009.7,1510.51,500.81
DIVERGENCE,2022-08-11 14:45:00,2022-08-16 12:35:00,117.8,Profit Target,NZDJPY,CADJPY,SELL,BUY,71.42857142857275,20.783132530123282,0.06619999999999777,0.07019999999999697,85.238,84.782,103.627,103.963,1.0,0.94,45.6,33.6,79.2,317.3,219.78,537.08
DIVERGENCE,2022-09-08 14:35:00,2022-09-13 16:05:00,121.5,Profit Target,NZDJPY,CADJPY,SELL,BUY,75.48209366390924,29.466357308585145,0.05559999999999547,0.07639999999999816,87.121,87.056,109.348,110.387,1.0,0.73,6.5,103.9,110.4,45.23,527.79,573.02
DIVERGENCE,2022-09-23 16:30:00,2022-09-23 21:35:00,5.1,Profit Target,NZDJPY,CADJPY,SELL,BUY,81.21212121211835,27.74936061381071,0.05939999999999941,0.11359999999999673,82.954,82.242,105.399,105.438,1.0,0.52,71.2,3.9,75.1,495.44,14.11,509.55
