Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L
DIVERGENCE,2021-01-04 18:50:00,2021-01-05 19:00:00,24.2,Profit Target,NZDUSD,NZDCAD,BUY,SELL,27.440633245381832,74.72924187725357,0.00048399999999999556,0.0005020000000000024,0.71711,0.72502,0.91604,0.91975,1.0,0.96,79.1,-37.1,42.0,791.0,-260.76,530.24
DIVERGENCE,2021-01-07 20:40:00,2021-01-11 12:00:00,87.3,Profit Target,NZDUSD,NZDCAD,SELL,BUY,79.91266375545504,22.59887005650033,0.0002840000000000176,0.00033799999999999385,0.72553,0.71858,0.92056,0.91741,1.0,0.84,69.5,-31.5,38.0,695.0,-193.74,501.26
DIVERGENCE,2021-01-20 17:30:00,2021-01-22 13:10:00,43.7,Profit Target,NZDUSD,NZDCAD,SELL,BUY,75.45454545454592,28.930817610062903,0.0006739999999999969,0.0006880000000000219,0.7173,0.71822,0.90433,0.91259,1.0,0.98,-9.2,82.6,73.4,-92.0,592.7,500.7
DIVERGENCE,2021-01-29 13:10:00,2021-05-10 00:00:00,2410.8,Time Limit,NZDUSD,NZDCAD,SELL,BUY,79.06976744186036,26.368159203978124,0.0003240000000000132,0.00035199999999997457,0.71761,0.72814,0.91965,0.8826,1.0,0.92,-105.3,-370.5,-475.8,-1053.0,-2495.79,-3548.79
DIVERGENCE,2021-05-21 19:50:00,2021-08-30 00:00:00,2404.2,Time Limit,NZDUSD,NZDCAD,BUY,SELL,24.067796610170987,73.41772151898977,0.0002800000000000136,0.00024200000000000886,0.71571,0.69964,0.86504,0.8828,1.0,1.16,-160.7,-177.6,-338.3,-1607.0,-1508.29,-3115.29
DIVERGENCE,2021-09-01 21:35:00,2021-09-03 14:20:00,40.8,Profit Target,NZDUSD,NZDCAD,BUY,SELL,23.148148148146248,73.41772151898272,0.00019599999999999617,0.00018200000000001548,0.70648,0.71276,0.89173,0.89331,1.0,1.08,62.8,-15.8,47.0,628.0,-124.93,503.07
DIVERGENCE,2021-09-06 19:15:00,2021-09-07 17:30:00,22.2,Profit Target,NZDUSD,NZDCAD,SELL,BUY,72.89719626167197,29.34782608696321,9.20000000000254e-05,0.00011999999999998679,0.7134,0.70894,0.89373,0.8952,1.0,0.77,44.6,14.7,59.3,446.0,82.88,528.88
DIVERGENCE,2021-09-08 18:40:00,2021-09-20 01:20:00,270.7,Profit Target,NZDUSD,NZDCAD,SELL,BUY,76.1245674740451,22.647058823530372,0.0003079999999999972,0.00040000000000002257,0.70942,0.70273,0.90019,0.8972,1.0,0.77,66.9,-29.9,37.0,669.0,-168.57,500.43
DIVERGENCE,2021-09-20 12:40:00,2021-09-22 18:15:00,53.6,Profit Target,NZDUSD,NZDCAD,BUY,SELL,29.655172413792002,70.80000000000219,0.0003659999999999997,0.00040399999999998217,0.70119,0.70234,0.90031,0.89426,1.0,0.91,11.5,60.5,72.0,115.0,403.07,518.07
DIVERGENCE,2021-09-23 10:05:00,2021-09-29 17:30:00,151.4,Profit Target,NZDUSD,NZDCAD,SELL,BUY,72.87449392712729,22.535211267605078,0.00029600000000000736,0.00035200000000001896,0.70203,0.68746,0.89214,0.8766,1.0,0.84,145.7,-155.4,-9.7,1457.0,-955.78,501.22
DIVERGENCE,2021-09-30 17:45:00,2021-11-26 11:05:00,1361.3,Profit Target,NZDUSD,NZDCAD,SELL,BUY,75.00000000000146,20.649651972159916,0.000674000000000019,0.0006139999999999812,0.69028,0.68242,0.87432,0.87077,1.0,1.1,78.6,-35.5,43.1,786.0,-285.92,500.08
DIVERGENCE,2021-12-03 19:10:00,2021-12-07 13:00:00,89.8,Profit Target,NZDUSD,NZDCAD,BUY,SELL,28.79256965944124,73.42857142856994,0.00037599999999999857,0.0006760000000000322,0.67479,0.6773,0.8663,0.85936,1.0,0.56,25.1,69.4,94.5,251.0,284.53,535.53
DIVERGENCE,2021-12-17 21:10:00,2021-12-23 10:00:00,132.8,Profit Target,NZDUSD,NZDCAD,BUY,SELL,16.1016949152489,76.02339181286409,0.00015599999999997837,0.0002479999999999816,0.67413,0.68292,0.86786,0.87573,1.0,0.63,87.9,-78.7,9.2,879.0,-362.99,516.01
DIVERGENCE,2021-12-30 21:35:00,2022-01-06 09:55:00,156.3,Profit Target,NZDUSD,NZDCAD,SELL,BUY,70.94594594594919,10.548523206749977,0.0002140000000000253,0.00028799999999999936,0.6832,0.67387,0.87078,0.86284,1.0,0.74,93.3,-79.4,13.9,933.0,-430.2,502.8
DIVERGENCE,2022-01-06 19:45:00,2022-01-27 08:45:00,493.0,Profit Target,NZDUSD,NZDCAD,SELL,BUY,70.29702970296839,29.71698113207836,0.00025799999999998047,0.00034600000000000185,0.67526,0.65956,0.85828,0.83933,1.0,0.75,157.0,-189.5,-32.5,1570.0,-1040.62,529.38
DIVERGENCE,2022-02-22 21:05:00,2022-02-23 14:35:00,17.5,Profit Target,NZDUSD,NZDCAD,BUY,SELL,23.87387387387264,73.33333333332929,0.0002599999999999936,0.0002780000000000227,0.67303,0.67982,0.86027,0.86263,1.0,0.94,67.9,-23.6,44.3,679.0,-162.41,516.59
DIVERGENCE,2022-02-25 18:10:00,2022-03-08 17:00:00,262.8,Profit Target,NZDUSD,NZDCAD,SELL,BUY,72.30320699708616,27.59643916913771,0.0005620000000000402,0.0005679999999999685,0.67427,0.68214,0.85887,0.87751,1.0,0.99,-78.7,186.4,107.7,-787.0,1351.15,564.15
DIVERGENCE,2022-03-22 19:50:00,2022-04-11 05:15:00,465.4,Profit Target,NZDUSD,NZDCAD,SELL,BUY,77.48344370860494,29.670329670329934,0.00020399999999995977,0.0002460000000000351,0.69551,0.6814,0.8746,0.8597,1.0,0.83,141.1,-149.0,-7.9,1411.0,-905.5,505.5
DIVERGENCE,2022-04-13 18:45:00,2022-04-22 09:50:00,207.1,Profit Target,NZDUSD,NZDCAD,SELL,BUY,75.00000000000131,16.666666666666657,0.00028799999999999936,0.0004919999999999592,0.67819,0.66823,0.85402,0.84326,1.0,0.59,99.6,-107.6,-8.0,996.0,-464.82,531.18
DIVERGENCE,2022-05-18 22:20:00,2022-05-30 04:35:00,270.2,Profit Target,NZDUSD,NZDCAD,BUY,SELL,29.85611510791513,73.71428571428825,0.00039000000000004585,0.00030000000000001136,0.63015,0.65467,0.81171,0.83212,1.0,1.3,245.2,-204.1,41.1,2452.0,-1942.53,509.47
