Trade Type,Entry Time,Exit Time,Duration (Hours),Exit Reason,Symbol1,Symbol2,Symbol1 Direction,Symbol2 Direction,Symbol1 Entry RSI,Symbol2 Entry RSI,Symbol1 Entry ATR,Symbol2 Entry ATR,Symbol1 Entry,Symbol1 Exit,Symbol2 Entry,Symbol2 Exit,Symbol1 Lots,Symbol2 Lots,Symbol1 Pips,Symbol2 Pips,Total Pips,Symbol1 P&L,Symbol2 P&L,Total P&L,Pair,Correlation
DIVERGENCE,2021-05-31 02:05:00,2021-07-30 12:25:00,1450.3,Profit Target,AUDJPY,NZDJPY,SELL,BUY,85.8490566037627,28.275862068964102,0.021800000000001773,0.01980000000000075,84.746,80.997,79.605,76.859,1.0,1.1,374.9,-274.6,100.3,2608.65,-2101.92,506.73,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2021-08-03 02:25:00,2021-10-08 21:35:00,1603.2,Profit Target,AUDJPY,NZDJPY,BUY,SELL,28.767123287669364,83.3333333333317,0.013600000000005252,0.02379999999999711,80.505,82.035,76.353,77.775,1.0,0.57,153.0,-142.2,10.8,1064.69,-564.01,500.68,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2021-11-19 06:40:00,2022-02-28 00:00:00,2417.3,Time Limit,AUDJPY,NZDJPY,SELL,BUY,72.26890756301879,29.11392405063792,0.017999999999995,0.01260000000000332,83.203,82.879,80.469,76.97,1.0,1.43,32.4,-349.9,-317.5,225.45,-3481.86,-3256.41,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2022-04-15 20:15:00,2022-04-25 04:40:00,224.4,Profit Target,AUDJPY,NZDJPY,SELL,BUY,75.0,23.985239852400355,0.023399999999998044,0.046599999999997976,93.453,92.393,85.476,84.923,1.0,0.5,106.0,-55.3,50.7,737.63,-192.42,545.21,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2022-07-13 00:05:00,2022-07-18 14:05:00,134.0,Profit Target,AUDJPY,NZDJPY,BUY,SELL,24.183006535949687,70.70707070707338,0.101400000000001,0.10080000000000382,92.322,94.465,83.921,85.323,1.0,1.01,214.3,-140.2,74.1,1491.34,-985.38,505.96,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2022-10-07 00:00:00,2023-01-16 00:00:00,2424.0,Time Limit,AUDJPY,NZDJPY,BUY,SELL,24.434389140272017,70.09803921568883,0.043999999999999775,0.054599999999999226,92.906,89.011,82.096,81.453,1.0,0.81,-389.5,64.3,-325.2,-2710.55,362.43,-2348.12,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2023-04-07 08:05:00,2023-05-19 12:35:00,1012.5,Profit Target,AUDJPY,NZDJPY,SELL,BUY,72.27722772277646,23.033707865171408,0.02160000000000366,0.02019999999999982,88.027,91.956,82.372,86.776,1.0,1.07,-392.9,440.4,47.5,-2734.09,3279.27,545.18,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2023-06-14 15:40:00,2023-06-15 21:50:00,30.2,Profit Target,AUDJPY,NZDJPY,BUY,SELL,28.980891719742047,71.01910828025093,0.07300000000000466,0.07439999999999998,94.969,96.656,86.57,87.552,1.0,0.98,168.7,-98.2,70.5,1173.98,-669.68,504.3,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2023-10-16 00:00:00,2023-10-17 02:00:00,26.0,Profit Target,AUDJPY,NZDJPY,BUY,SELL,28.323699421962942,75.48262548262295,0.0858000000000004,0.1054000000000002,94.096,94.791,88.301,88.266,1.0,0.81,69.5,3.5,73.0,483.65,19.73,503.38,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2023-11-30 07:00:00,2023-12-01 04:30:00,21.5,Profit Target,AUDJPY,NZDJPY,SELL,BUY,70.64676616915743,28.502415458939822,0.04099999999999966,0.02980000000000018,97.699,97.936,90.809,91.503,1.0,1.38,-23.7,69.4,45.7,-164.92,666.48,501.56,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2023-12-27 20:00:00,2023-12-29 13:45:00,41.8,Profit Target,AUDJPY,NZDJPY,SELL,BUY,71.75141242937895,28.787878787878796,0.022799999999998023,0.04379999999999882,97.285,96.274,89.996,89.471,1.0,0.52,101.1,-52.5,48.6,703.53,-189.98,513.55,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2024-05-14 13:35:00,2024-05-22 05:05:00,183.5,Profit Target,AUDJPY,NZDJPY,SELL,BUY,76.02739726026904,19.32773109242875,0.020800000000002684,0.02160000000000366,103.348,104.384,94.137,96.003,1.0,0.96,-103.6,186.6,83.0,-720.93,1246.62,525.69,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2024-07-10 05:00:00,2024-07-11 16:00:00,35.0,Profit Target,AUDJPY,NZDJPY,SELL,BUY,73.38709677419304,19.818456883509825,0.046999999999997044,0.13640000000000044,108.866,107.285,98.514,96.73,1.0,0.34,158.1,-178.4,-20.3,1100.18,-422.11,678.07,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2025-01-24 23:55:00,2025-01-27 13:15:00,61.3,Profit Target,AUDJPY,NZDJPY,SELL,BUY,72.18045112782173,24.6861924686132,0.032399999999995543,0.04780000000000086,98.455,96.875,88.909,87.649,1.0,0.68,158.0,-126.0,32.0,1099.48,-596.25,503.23,AUDJPY/NZDJPY,0.8803619388091309
DIVERGENCE,2020-01-24 20:45:00,2020-02-04 15:00:00,258.2,Profit Target,AUDUSD,NZDUSD,BUY,SELL,26.760563380281255,83.0508474576284,0.0001020000000000243,9.999999999998899e-05,0.68197,0.67196,0.66055,0.64582,1.0,1.02,-100.1,147.3,47.2,-1001.0,1502.46,501.46,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2020-02-10 00:05:00,2020-02-11 02:40:00,26.6,Profit Target,AUDUSD,NZDUSD,BUY,SELL,26.760563380286982,74.19354838710024,0.0002960000000000296,0.0002459999999999907,0.66692,0.66914,0.64035,0.63801,1.0,1.2,22.2,23.4,45.6,222.0,280.8,502.8,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2020-03-31 01:20:00,2020-04-07 13:45:00,180.4,Profit Target,AUDUSD,NZDUSD,BUY,SELL,28.571428571423723,71.53284671532799,0.0003740000000000077,0.00038400000000000657,0.6163,0.61872,0.60161,0.5987,1.0,0.97,24.2,29.1,53.3,242.0,282.27,524.27,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2020-07-06 21:15:00,2020-07-21 10:05:00,348.8,Profit Target,AUDUSD,NZDUSD,BUY,SELL,29.166666666662323,70.00000000000202,0.00017999999999995797,0.00016600000000002168,0.69739,0.70506,0.65562,0.65795,1.0,1.08,76.7,-23.3,53.4,767.0,-251.64,515.36,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2020-08-17 02:00:00,2020-09-02 16:50:00,398.8,Profit Target,AUDUSD,NZDUSD,SELL,BUY,75.15151515152122,25.925925925923792,0.00018799999999996597,0.00021399999999998086,0.71794,0.7308,0.65396,0.67444,1.0,0.88,-128.6,204.8,76.2,-1286.0,1802.24,516.24,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2020-12-14 06:55:00,2020-12-31 02:30:00,403.6,Profit Target,AUDUSD,NZDUSD,SELL,BUY,74.48979591836122,20.83333333333681,0.00022199999999998886,0.00014799999999997037,0.75406,0.76978,0.70851,0.72237,1.0,1.5,-157.2,138.6,-18.6,-1572.0,2079.0,507.0,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2021-02-15 00:00:00,2021-02-26 18:05:00,282.1,Profit Target,AUDUSD,NZDUSD,SELL,BUY,74.5614035087715,26.50602409638539,0.00019199999999999217,0.0004520000000000302,0.77611,0.77351,0.72064,0.72647,1.0,0.42,26.0,58.3,84.3,260.0,244.86,504.86,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2021-08-03 02:50:00,2021-10-21 04:20:00,1897.5,Profit Target,AUDUSD,NZDUSD,BUY,SELL,26.436781609198192,71.99999999999882,0.0001399999999999846,0.000256000000000034,0.73632,0.75334,0.6989,0.72042,1.0,0.55,170.2,-215.2,-45.0,1702.0,-1183.6,518.4,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2021-10-26 23:20:00,2022-01-20 07:00:00,2047.7,Profit Target,AUDUSD,NZDUSD,BUY,SELL,29.1139240506443,71.01449275362506,0.0001060000000000283,0.000132000000000021,0.75053,0.72368,0.71645,0.6766,1.0,0.8,-268.5,398.5,130.0,-2685.0,3188.0,503.0,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2022-03-30 12:15:00,2022-03-31 19:50:00,31.6,Profit Target,AUDUSD,NZDUSD,BUY,SELL,29.392971246008145,79.66101694915781,0.00043800000000000506,0.0003079999999999972,0.75074,0.74944,0.69762,0.6931,1.0,1.42,-13.0,45.2,32.2,-130.0,641.84,511.84,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2022-04-15 07:40:00,2022-07-25 00:00:00,2416.3,Time Limit,AUDUSD,NZDUSD,SELL,BUY,71.24999999999687,26.923076923058858,0.00016999999999998128,7.799999999995589e-05,0.74032,0.69228,0.67702,0.62371,1.0,2.18,480.4,-533.1,-52.7,4804.0,-11621.58,-6817.58,AUDUSD/NZDUSD,0.8557948512996945
DIVERGENCE,2022-08-16 07:50:00,2022-11-17 20:05:00,2244.2,Profit Target,AUDUSD,NZDUSD,SELL,BUY,70.21276595744882,28.961748633881484,0.00020399999999995977,0.00016200000000001768,0.70295,0.66821,0.63558,0.6122,1.0,1.26,347.4,-233.8,113.6,3474.0,-2945.88,528.12,AUDUSD/NZDUSD,0.8557948512996945
