pair,sharpe_ratio,volatility,total_trades,total_profit,max_loss,correlation_type,capital_allocated_vol_based,capital_allocated_sharpe_based,volatility_based_weight,sharpe_based_weight,portfolio_sharpe_vol_weighted,portfolio_sharpe_sharpe_weighted
AUDUSD_GBPNZD,0.4006456726512571,886.3719846267148,100,35512.10999999999,-5306.35,Negative,3476.0678960150553,2565.496538256152,3.48%,2.57%,2.4261178241601113,2.7535007311278727
EURAUD_CADCHF,0.4592457822301875,939.7965351816326,158,68192.42,-8454.71,Negative,3278.464097649386,2940.736778020427,3.28%,2.94%,2.4261178241601113,2.7535007311278727
EURGBP_GBPCHF,0.7363943844996163,570.8134277837103,71,29844.410000000003,-2447.96,Negative,5397.716748971824,4715.431547589703,5.40%,4.72%,2.4261178241601113,2.7535007311278727
EURCAD_CADJPY,0.6100282108393693,643.8720619342721,82,32207.970000000005,-3609.31,Negative,4785.250645028435,3906.257748375272,4.79%,3.91%,2.4261178241601113,2.7535007311278727
GBPNZD_NZDCHF,0.4255580259357059,1087.2813421152755,315,145750.91,-15032.71,Negative,2833.7552391863387,2725.0204280017438,2.83%,2.73%,2.4261178241601113,2.7535007311278727
EURAUD_AUDJPY,0.9059438293124874,491.3926366957713,63,28045.97,-2939.18,Negative,6270.116744937774,5801.125324967155,6.27%,5.80%,2.4261178241601113,2.7535007311278727
GBPUSD_USDCHF,0.4376528052228595,879.2437887890378,94,36171.52999999999,-4847.31,Negative,3504.2490364720784,2802.468199212726,3.50%,2.80%,2.4261178241601113,2.7535007311278727
EURAUD_AUDCHF,5.568728476952119,99.0980004550152,70,38629.490000000005,0.0,Negative,31091.335703176937,35658.82425627713,31.09%,35.66%,2.4261178241601113,2.7535007311278727
USDJPY_EURCAD,0.5505570882661585,1048.3792350496158,42,24242.09,-5542.38,Negative,2938.9071212792524,3525.440059572759,2.94%,3.53%,2.4261178241601113,2.7535007311278727
GBPUSD_USDCAD,0.4810601017778841,782.7341584168647,69,25981.409999999996,-4700.04,Negative,3936.316265945688,3080.4227027770476,3.94%,3.08%,2.4261178241601113,2.7535007311278727
USDCAD_AUDCHF,0.4932686415661125,762.4527665289112,99,37233.31,-4505.75,Negative,4041.023044239525,3158.5989285592887,4.04%,3.16%,2.4261178241601113,2.7535007311278727
USDJPY_NZDUSD,2.7403415032113942,236.35405133539183,49,31736.85,0.0,Negative,13035.906015870985,17547.516721210322,13.04%,17.55%,2.4261178241601113,2.7535007311278727
EURUSD_GBPUSD,0.4419896321825217,758.8712265250688,56,18783.14,-3393.14,Positive,4060.0949041065114,2830.2386590267624,4.06%,2.83%,2.4261178241601113,2.7535007311278727
AUDUSD_AUDCAD,0.90168448121437,453.5768331496085,47,19222.209999999995,-1818.28,Positive,6792.871625056047,5773.850993689253,6.79%,5.77%,2.4261178241601113,2.7535007311278727
EURAUD_EURNZD,0.4635925846058901,675.9850719637351,30,9401.45,-1776.09,Positive,4557.924912064159,2968.5711144642796,4.56%,2.97%,2.4261178241601113,2.7535007311278727
